學號,最高學歷畢業學校
84aS60c59,景美女中
d64S671ab,政治大學附中
87dS6386d,中崙高中
c21S6da7c,政治大學附中
338S696f4,中壢高中
449S6f7ed,平鎮高中
046S6f645,中壢高中
db9S6d5fd,內壢高中
fe2S62ac0,新竹女中
ec0S6ed48,文華高中
7dfS65ea6,科學園區實驗高中
c26S65e12,惠文高中
de0S683f7,台中女中
776S65c6e,台中一中高中
8f8S649a6,文華高中
f52S679e9,大甲高中
862S6b74a,豐原高中
bcfS6a5d7,明道高中
79bS6ab90,斗六高中
952S6f7b6,斗六高中
bf1S60d9d,台南一中高中
044S641dc,台南女中
f21S6364f,台南二中高中
a4bS6fe01,台南一中高中
0beS67dd7,黎明高中
8f7S648aa,高雄女中
142S606c8,高雄女中
9feS639c5,高雄女中
f69S6d3dd,高雄師範大學附中
5a4S64812,羅東高中
f09S65625,南山高中
316S61db6,中崙高中
fb7S6fe58,台中女中
993S639d0,內湖高中
53aS6753a,大同高中
77dS665f8,政治大學附中
f07S62641,延平高中
ea0S6fd55,復旦高中
cd1S61585,清水高中
83fS6af35,員林高中
901S6a6d0,斗六高中
e80S6d748,台南女中
136S60c25,和平高中
a9aS6b002,南港高中
0a6S6f587,南湖高中
d21S69770,三重高中
87aS6cfc4,板橋高中
82dS648c2,平鎮高中
c05S6b0e5,彰化高中
689S67bde,大灣高中
49eS6bc3a,東山高中
1c8S6571c,和平高中
3b7S692e2,大同高中
d9dS63923,松山高中
3acS6c70c,和平高中
6f3S601d6,中正高中
6d3S69248,中正高中
44dS6731c,景美女中
856S67c22,中山女中
d2aS62659,內湖高中
a3aS69003,板橋高中
93fS696dc,明德高中
26fS6edc4,海山高中
354S6b08c,板橋高中
331S67869,新莊高中
214S61b42,成功高中
c71S6dcba,板橋高中
818S6a2b2,師範大學附中
90eS66a6a,平鎮高中
fd0S6ec8c,台中女中
ddfS6b189,台中二中高中
3ecS62e89,彰化高中
6e6S63f24,鳳山高中
9dfS65a6d,板橋高中
8b5S6ccf1,西松高中
3eaS60f67,大直高中
7afS63d71,二信高中
392S6f745,新竹女中
444S678d6,中興高中
ec4S6986c,正心高中
678S6ebbe,高雄高中
451S64ffb,基隆市立中山高中
fcfS6cfa2,林口高中
c37S61dbb,新興高中
f7fS6eee2,德光高中
268S65402,師範大學附中
c13S60ab5,和平高中
59aS68771,中正高中
351S67264,景美女中
53aS693c9,中和高中
516S68d7d,板橋高中
5cbS66caa,永平高中
aa5S6df07,武陵高中
71eS65b46,內壢高中
ffbS6223f,中壢高中
4faS6e6c9,台中女中
111S6db58,台南女中
a34S64f5a,台南一中高中
c50S6c87e,新營高中
3ddS6df62,高雄女中
389S6ddf6,鳳新高中
4a2S677d3,高雄女中
ca1S6be0d,鳳山高中
7ebS6fa5e,彰化女中
d6fS61c12,文華高中
d1dS694ff,政治大學附中
8f0S635d7,中和高中
f45S60feb,新竹女中
46eS66300,中興大學附中
53aS699b9,永豐高中
c68S62490,苗栗高中
0d7S68dfd,龍潭農工
2d1S6013c,松山高中
52bS608b4,松山高中
657S6abfe,大同高中
f8bS6f04c,大同高中
fa7S69465,中正高中
065S6886e,成淵高中
bf1S6678e,內湖高中
cf4S6dfba,清水高中
172S6f5d4,中山女中
ce1S671fd,建國高中
89cS63e86,新莊高中
0b9S6cf1e,中和高中
24bS6fb1f,板橋高中
f86S6e2a5,永平高中
82aS6ab64,建國高中
2a1S6e908,桃園高中
297S6afc3,武陵高中
564S62c47,中壢高中
da0S65cf5,平鎮高中
3f2S684db,武陵高中
7ceS68c73,中壢高中
61aS6cf7e,新竹高中
2a0S62d9e,建功高中
