學號,最高學歷畢業學校
b11W95373,彰化高中
abfW90db5,虎尾高中
4fbW9c40a,家齊女中
b99W9dd6f,台南一中高中
794W9b899,台南二中高中
29bW90d19,高雄女中
6e6W9cd7b,高雄女中
067W9e815,鳳山高中
7e6W91284,鳳山高中
116W9c72f,高雄市立中正高中
5ffW9929a,高雄女中
12fW97f6c,鳳新高中
b32W9742e,前鎮高中
61dW90b23,瑞祥高中
6b8W9780e,宜蘭高中
eb5W9ad62,蘭陽女中
9f0W9175a,宜蘭高中
bffW939fb,嘉義女中
a22W9628c,蘭陽女中
429W9f985,內湖高中
bf7W908d1,中山女中
64fW96011,內壢高中
fdaW943a0,啟英高中
da7W985f8,斗六高中
765W9f697,港明高中
3c4W9fe49,鳳新高中
e02W9b565,花蓮女中
fd7W9e260,金門高中
635W9637b,育成高中
129W91b42,泰山高中
492W93620,基隆女中
29bW9121b,龍潭農工
249W9977e,新竹高工
572W9be2a,旭光高中
323W996d6,前鎮高中
dc5W91e9b,鼓山高中
734W990d5,枋寮高中
000W9cb09,成功高中
c2fW923fe,建國高中
e7dW991bd,松山高中
7c1W9dd30,松山高中
498W93f5c,松山高中
ba0W9d513,建國高中
965W9f96f,建國高中
b32W92d60,大同高中
bd0W954b6,建國高中
63aW988fd,延平高中
fd8W94db6,東山高中
0dcW98ba4,和平高中
f58W9356b,政治大學附中
53eW90d29,薇閣高中
55dW98362,中山女中
aa2W9ee06,景美女中
f9fW9e880,第一女中
a78W9061e,景美女中
290W93e63,景美女中
081W91bd2,百齡高中
becW921da,南湖高中
594W9b28c,大直高中
8f8W969d8,板橋高中
d96W9dfa4,海山高中
7f2W934db,政治大學附中
a7dW95ce7,師範大學附中
8e3W926fd,大同高中
c26W98145,景美女中
219W9c7ba,桃園高中
e3aW94670,桃園高中
5bdW991d5,武陵高中
316W988a2,內壢高中
934W9fabc,內壢高中
6a6W92fa1,中壢高中
76cW9065e,武陵高中
091W96317,復旦高中
02fW95363,復旦高中
81bW97edb,新竹高中
3a0W90a9b,新竹高中
00bW9e2e6,新竹女中
aa0W904d4,新竹高中
8cdW9de98,文華高中
58bW9f681,衛道高中
120W9853f,台中女中
d68W9c30c,文華高中
28eW9da18,普台高中
b55W9a63f,台中一中高中
773W96fcf,正心高中
f1eW98b21,家齊女中
613W9837e,台南女中
21fW9cde7,黎明高中
28cW9e327,高雄女中
764W906bc,高雄高中
993W9930c,高雄高中
7f6W9f7bb,高雄高中
0b9W96d9f,宜蘭高中
b72W95e12,羅東高中
963W96fbd,薇閣高中
f32W9484b,板橋高中
98dW9ebcd,新竹女中
83fW9165d,新民高中
407W90db1,高雄師範大學附中
7ccW95b79,衛道高中
d24W9ef46,安康高中
a45W997d7,臺東女中
0e5W9f612,西松高中
613W91e69,延平高中
c6eW9a635,景美女中
e5bW93480,竹林高中
1cfW98eeb,台南女中
a67W9ea86,復興高中
017W94d9d,清水高中
973W9fef8,斗南高中
635W9f125,新豐高中
33fW96ef7,新化高工
73aW9e51e,新莊高中
228W9ad8f,左營高中
149W98cb5,羅東高商
8d6W9346c,松山高中
68dW9f96a,松山高中
041W9ae2f,成功高中
ebdW985c5,師範大學附中
b2eW91635,政治大學附中
99bW9ac17,成淵高中
7e2W9ae62,景美女中
175W99807,景美女中
402W9e908,中正高中
61cW91892,大直高中
b8fW96007,板橋高中
31aW937f6,板橋高中
b44W9a243,海山高中
b9cW96967,明德高中
d87W9ab59,永平高中
107W936f5,武陵高中
58dW9138e,師範大學附中
ec3W9713d,台中二中高中
d64W9ef6b,文華高中
62dW9bc61,嘉義女中
738W910cb,台南女中
e62W9783f,高雄女中
c6bW97e9f,建國高中
b26W9bbd1,新竹高中
ee0W9bff7,景美女中
2d5W978f7,成淵高中
e1dW95c00,麗山高中
1fbW99577,景美女中
824W94805,松山高中
728W9ba50,新竹女中
17dW97f9e,高雄市立中正高中
0c0W95f9d,羅東高中
fc5W98f3e,蘭陽女中
b3fW91007,蘭陽女中
71bW9c9ac,大理高中
6eeW95bae,萬芳高中
eb1W9423a,湖口高中
e13W9db0b,師範大學附中
b03W9ca8e,新店高中
fc4W94eac,建國高中
fe2W995d8,大直高中
089W93a56,中山女中
645W90916,中山女中
332W9270c,百齡高中
830W9da42,南湖高中
3dfW9de7b,中和高中
939W92fb1,新莊高中
42aW9c583,三民高中
96cW92d40,成功高中
65dW927d8,松山高中
4a9W932d3,中壢高中
50dW96dba,內壢高中
d14W9145a,惠文高中
853W95d76,西苑高中
4d5W949c6,台中女中
c42W9f2f1,文華高中
47cW957f0,豐原高中
dfaW93035,文華高中
9efW9b9f3,港明高中
848W95da4,高雄女中
424W9e13c,高雄市立中正高中
a29W98752,高雄女中
0d9W94a17,高雄高中
a75W9dce0,高雄高中
468W9603c,中和高中
155W94575,新竹女中
653W9838f,台南女中
9a2W904ba,台南女中
bf2W93883,道明高中
dc8W9fac8,馬公高中
86dW996dc,金門高中
981W9bdf3,淡水商工
354W975d7,林口高中
a08W92e25,平鎮高中
694W9d741,松山高中
c86W9883d,松山高中
036W93de6,松山高中
b98W97063,和平高中
f3fW9ecbb,政治大學附中
904W98803,第一女中
ef1W9a157,景美女中
8a9W9f755,台北市立陽明高中
622W91648,內湖高中
c0bW93728,中和高中
b67W9fc7c,內湖高中
4aaW99ed6,成功高中
a36W93323,中山女中
dfdW950e7,第一女中
febW9e858,永平高中
e9fW9434d,中正高中
443W91f0c,桃園高中
73bW9e6f4,武陵高中
d9dW9b800,新竹女中
17bW9f5a5,新竹女中
3a8W95ceb,衛道高中
238W90202,台中二中高中
ccaW985af,文華高中
e05W95fb7,彰化女中
c5dW965a6,彰化高中
d98W928d5,高雄高中
a28W97ac4,羅東高中
e56W99682,羅東高中
ad1W9b256,成功高中
becW938ac,薇閣高中
837W9288e,永平高中
690W964c5,中壢高中
1f4W98633,忠明高中
38fW92bb7,彰化高中
d4dW9b252,華江高中
c54W9f824,內湖高中
3d3W9ba79,三重高中
13cW932e5,中壢高商
52bW972ae,高雄市立中山高中
872W9872b,屏東女中
44bW9b171,師範大學附中
9a5W9320e,成功高中
c53W9ac55,師範大學附中
7e4W99d3f,成功高中
a5bW95cf0,永春高中
9a9W93616,師範大學附中
968W991ad,松山高中
28fW9d93a,大同高中
180W9405c,中崙高中
690W9146d,中崙高中
80eW9a179,中崙高中
193W9ed57,景美女中
8b8W9239d,師範大學附中
5dbW9a005,和平高中
91eW95caa,再興高中
d21W9bbd5,明倫高中
a0aW9b7e2,大直高中
b29W9f7a2,中山女中
5b9W952d5,中山女中
8c1W96a8f,第一女中
9c4W98f08,第一女中
294W9e27f,中山女中
a83W99b23,中正高中
132W92cc7,內湖高中
e8eW9207d,南湖高中
480W9722e,板橋高中
22bW98c4f,板橋高中
d3eW98fc6,板橋高中
643W97322,中和高中
b3bW9e229,板橋高中
0f0W97d80,板橋高中
8a9W951e8,板橋高中
9d2W9fe91,松山高中
4f4W98d00,新莊高中
cd7W94e93,三重高中
730W9a02f,中山女中
2e9W955fe,大同高中
940W94a7c,永平高中
567W9b7fd,中和高中
b38W9ea9f,師範大學附中
bbaW9f202,武陵高中
1e5W944d5,武陵高中
f64W93d1a,中壢高中
83aW970ea,武陵高中
832W930ba,啟英高中
1e4W9fd54,新竹女中
961W9c52e,新竹高中
a4aW95b7d,中興大學附中
ddcW955eb,中興大學附中
0d0W995d9,惠文高中
5a1W93b40,文華高中
033W92fd4,安康高中
471W947b0,衛道高中
242W9e859,台中二中高中
491W962da,文華高中
219W9e9ae,僑泰高中
559W972a7,文華高中
bb5W9271a,台中一中高中
af0W9fa0b,惠文高中
d1aW9b639,豐原高中
0b4W96ad0,中興高中
7a7W99b7d,正心高中
526W97055,台南一中高中
fb8W9900a,德光高中
f02W9e8a1,鳳山高中
615W9b195,高雄市立中正高中
47dW9fa0f,高雄師範大學附中
152W953c4,羅東高中
0afW9de65,羅東高中
5d9W9a60e,蘭陽女中
023W9c9e8,高雄女中
2baW98b5e,海山高中
05aW95c6c,板橋高中
05cW9ebb0,中崙高中
f3dW9c131,文華高中
0e3W93319,彰化女中
2daW9d8c7,虎尾高中
23dW9446b,協同高中
153W92366,台南一中高中
d54W99e2d,鳳新高中
65fW97328,羅東高中
f62W99e7f,花蓮女中
0ccW969aa,中崙高中
570W9d3ee,永春高中
ce5W94f22,格致高中
bd9W979c3,忠信高中
b4fW9aabd,建臺高中
1eeW91880,東海大學附中
6daW9aa46,虎尾高中
e50W9da31,師範大學附中
6beW9ec0d,師範大學附中
51fW9e3fe,成功高中
c10W98d25,成功高中
6cbW9ab12,大同高中
92cW98131,建國高中
f96W954f8,大同高中
7f2W9a7b9,西松高中
468W9a5f4,松山高中
142W9c741,中崙高中
f05W91a9f,成功高中
101W9aae3,明倫高中
6f8W91561,和平高中
de6W9f78f,政治大學附中
bb6W9ad47,成功高中
dc4W9f441,中山女中
4eeW9b90e,景美女中
0ecW99b8a,景美女中
01cW9f58b,中山女中
a67W91be3,中山女中
29bW955b2,景美女中
2c1W9c5d2,第一女中
bc7W9b455,第一女中
570W98613,中山女中
581W9669c,景美女中
236W9d4d3,中正高中
aecW98f5f,中正高中
be3W9642d,薇閣高中
fceW94a58,南湖高中
599W90349,南湖高中
ee0W941d2,南湖高中
3abW97d94,內湖高中
481W9677d,板橋高中
f7aW90ae7,板橋高中
b24W9d646,海山高中
7c7W9599d,建國高中
640W95282,板橋高中
268W992fc,板橋高中
1bcW9f5cb,永平高中
239W95dd4,錦和高中
b5bW921ed,第一女中
4bcW999c9,基隆女中
998W97f65,建國高中
6aeW948b7,桃園高中
c3aW92e9b,桃園高中
1a8W94029,桃園高中
69aW9d35f,武陵高中
56fW985ba,武陵高中
db7W9b80b,武陵高中
deaW9322b,武陵高中
e27W90901,武陵高中
5cbW90670,新竹高中
f50W96bca,新竹女中
0daW911e2,台中女中
a15W9b674,台中二中高中
e7dW9b22c,台中二中高中
821W9e0c0,台中女中
cdcW9028a,文華高中
c79W9efba,台中女中
4dcW981e5,僑泰高中
782W989d5,僑泰高中
cb2W9584e,彰化女中
df4W94c85,彰化女中
77dW931ee,台南二中高中
421W9a0d6,台南二中高中
34cW99d8e,台南一中高中
401W98153,台南一中高中
b71W98a9a,台南一中高中
5ddW9858e,興國高中
71cW9bb27,新營高中
2b0W98eca,高雄女中
957W930df,高雄師範大學附中
9f4W9dfed,高雄高中
925W9f735,曉明女中
e4bW9e0b1,高雄女中
6dfW95e48,武陵高中
127W9536b,麗山高中
80cW952c5,復旦高中
e73W92caa,台中一中高中
169W93316,松山高中
1f6W9296b,內壢高中
93eW91dbe,永豐高中
c76W94d93,精誠高中
b5cW978bc,嘉義女中
e05W9dd77,高雄市立中正高中
c35W97560,鳳新高中
645W9b942,高雄市立三民高中
e19W9e31a,師範大學附中
73bW9aad4,成功高中
139W93335,成淵高中
4e9W9284e,大同高中
be0W92808,桃園高中
ec4W94c27,武陵高中
f78W98968,中壢高中
13bW93ac5,復旦高中
c02W997ac,師範大學附中
2faW93258,建國高中
b1cW94928,大同高中
cfdW9d1f1,第一女中
1afW982e4,再興高中
6aeW9acde,景美女中
891W94b2b,景美女中
aa0W9124b,中正高中
d62W9019a,中正高中
774W9a4ab,內湖高中
0c2W96bf3,板橋高中
339W9fa4a,中和高中
bdaW92e5a,暖暖高中
4daW98490,南港高中
c5cW912a6,竹北高中
8efW9d0b3,台中二中高中
5f6W98c59,嘉義女中
3f4W9e9b3,長榮高中
ce5W9e3fd,台南一中高中
97aW9fea8,蘭陽女中
92cW9a49b,曉明女中
447W90c04,中壢高中
2fdW99e90,中和高中
569W9d7bd,永平高中
c87W99064,台中二中高中
857W9e21c,彰化女中
5b1W99296,台南女中
bf3W9d396,辭修高中
f34W9479a,南山高中
845W99923,興華高中
77eW9419f,新興高中
9cbW91d6e,蘭陽女中
06bW9a7c2,成功高中
f03W9caeb,大同高中
504W98378,第一女中
106W9b116,中興大學附中
64cW91f87,師範大學附中
79fW90031,新店高中
97fW95a6d,成功高中
b32W91593,建國高中
f75W942fa,建國高中
d3aW9dedc,建國高中
674W96b0a,中崙高中
974W9e7c1,松山高中
625W9da59,政治大學附中
b7fW925f1,建國高中
b4cW9d088,師範大學附中
366W90356,第一女中
19aW9acea,景美女中
52cW95007,第一女中
d9eW986ef,第一女中
d19W90e94,中山女中
3dbW9aa39,中山女中
f39W9c060,中正高中
7a3W93688,內湖高中
ec4W9eaaf,內湖高中
012W9fc49,麗山高中
5d1W933af,明德高中
3ceW99a2b,海山高中
07eW9b25c,建國高中
853W9705c,永平高中
d75W971a5,景美女中
99aW90c52,第一女中
707W92f86,武陵高中
996W9986e,桃園高中
c3eW9f9f3,新興高中
f21W9b734,中壢高中
30fW92454,新竹高中
d29W9a553,新竹女中
2c5W946a8,台中女中
9ebW95fd5,衛道高中
269W95a33,文華高中
48fW9ff98,台中一中高中
645W9a836,嘉義女中
3feW91e94,台南一中高中
c41W904fd,台南二中高中
9bfW90809,高雄女中
566W9bf77,高雄女中
f73W9423b,羅東高中
b0aW9e316,師範大學附中
2ceW97a49,台中市立東山高中
12aW94f74,台中一中高中
a68W925ad,清水高中
181W9eaa6,高雄師範大學附中
6beW90c19,松山高中
559W9a128,麗山高中
c3aW903b6,台南女中
367W99d0c,花蓮女中
2f4W904a2,花蓮高中
c48W9b18b,百齡高中
bbeW91fee,明德高中
a0dW9642e,香山高中
282W9ebdc,忠明高中
0d5W96cf3,台中二中高中
77aW99854,苑裡高中
2e2A185e7,師範大學附中
14cA1d858,師範大學附中
332A12a4a,松山高中
1d1A1af3a,延平高中
667A15039,政治大學附中
7c3A1132c,再興高中
742A12858,麗山高中
c38A11a67,中山女中
73cA1c087,第一女中
0bcA1d537,中正高中
06bA152a7,南湖高中
8d6A131fb,內湖高中
728A1ec53,中和高中
9c1A1f2cb,板橋高中
ef8A1a571,中和高中
0c0A1eee9,板橋高中
940A16021,清水高中
121A178be,成功高中
e48A1d120,南湖高中
37aA15a3d,桃園高中
ee0A10db3,武陵高中
386A15714,中壢高中
370A17910,中壢高中
b4eA1a16d,中興大學附中
94eA145ec,台中一中高中
096A19bf9,豐原高中
0f1A1df7f,彰化女中
6f6A16f56,正心高中
f41A17a88,嘉義女中
709A10d7b,台南一中高中
d26A14d01,明道高中
7d2A1c0bd,和平高中
21dA1b264,延平高中
430A10d6f,萬芳高中
cd5A1a81f,台北市立陽明高中
174A1f4d1,陽明高中
ef7A1fa8c,竹東高中
30fA125eb,大同高中
373A145a8,大同高中
cc0A1d8c8,中崙高中
4b8A1ebf0,台北市立陽明高中
acaA11213,第一女中
9edA1bf21,中山女中
7ddA1a19c,中山女中
7e7A168a0,內湖高中
1beA18c0e,明德高中
7b5A121de,新莊高中
de1A18557,台北市立陽明高中
578A1c426,內壢高中
4cdA1e9fa,惠文高中
52eA11a63,台中二中高中
de3A14149,文華高中
143A13827,文華高中
bf7A1cf80,文華高中
cefA109d3,文華高中
965A1f0e3,斗六高中
840A15556,家齊女中
2e4A1ade3,台南一中高中
2baA14cfc,瑞祥高中
734A14f7f,高雄高中
e2fA1c735,羅東高中
241A16f1f,二信高中
0acA11d3a,臺東女中
c8eA1527a,建功高中
957A16b0d,大同高中
dedA17a1f,育成高中
d10A1e0ff,中崙高中
589A1b9fc,政治大學附中
c1fA12f8f,第一女中
cb4A1834b,中山女中
b0fA1af67,中山女中
483A169a0,百齡高中
f42A1d41d,內湖高中
b48A1c0b7,板橋高中
222A1e64b,板橋高中
d36A1da3e,松山高中
01cA1a9a7,景美女中
f4dA1092c,基隆女中
015A1d1bb,武陵高中
e78A17146,中興大學附中
2a0A1672c,文華高中
461A15354,文華高中
791A16ba0,文華高中
1baA1fec5,台中女中
580A14d1e,普台高中
c3aA14a8b,正心高中
7cfA16f04,嘉義高中
b4cA1233e,台南女中
539A1c486,聖功女中
898A1a40a,鳳山高中
c1eA17aa7,鳳山高中
9d4A14b0b,高雄女中
d97A1ae74,高雄女中
442A10c48,台中女中
104A147e0,內湖高中
e9dA139e0,中興大學附中
e12A1e97a,新莊高中
68bA1ba08,清水高中
569A1776b,壽山高中
631A18b4e,豐原高中
633A1d357,永春高中
ba1A1b40a,師範大學附中
775A142ee,中崙高中
e4cA1dd15,政治大學附中
cd3A1ab85,師範大學附中
3e2A1d5ec,大直高中
97dA1ab25,內湖高中
f6cA1ef3a,師範大學附中
883A190de,新莊高中
bcaA105fb,松山高中
121A1dd4d,基隆女中
a3eA139d1,桃園高中
761A141af,武陵高中
4efA14957,中壢高中
e08A100ea,新竹高中
de9A14ff3,嘉義高中
14fA1558d,文華高中
63cA10e5e,高雄女中
799A163cb,高雄高中
c54A19b6b,新莊高中
af9A1b50f,武陵高中
dbeA1731a,臺東女中
a8eA13147,大直高中
185A122d4,西松高中
b37A13e87,中興高中
74dA13800,花蓮女中
e9cA1421b,師大附屬高工
699A18d09,基隆市立中山高中
d5fA1952a,桃園高中
a1fA168e6,衛道高中
e2eA1065c,松山高中
dadA12575,和平高中
b91A13ca9,中山女中
808A117e9,中正高中
4f0A13f35,桃園高中
d04A1efde,內壢高中
8b5A1b665,新竹女中
7d3A14267,惠文高中
38dA16d1b,長榮高中
ff5A1c6bf,大同高中
abaA1ac1b,松山工農
b06A108f1,麗山高中
41eA1fde6,內湖高中
3e5A1bf47,內湖高中
1e2A182fe,東山高中
22fA1e10c,板橋高中
730A18e4d,板橋高中
0aeA1ab40,永平高中
622A11009,永平高中
238A1e0ff,桃園高中
ab2A125e4,武陵高中
7aeA1aed9,陽明高中
fb6A1e778,內壢高中
d80A14c5f,武陵高中
906A1ea58,新竹女中
ef2A1764f,明道高中
a0aA1722e,惠文高中
880A155d0,高雄高中
f6fA14d17,聖心女中
011A14653,三重高中
e6fA145ad,建國高中
955A1af4e,松山高中
165A13af8,延平高中
4e9A10fdf,西松高中
2c7A1bc22,成功高中
399A19599,板橋高中
b3eA1a535,清水高中
73aA18778,板橋高中
81eA150e4,延平高中
9ecA1831d,板橋高中
1a9A1f092,桃園高中
9e6A1a1c3,武陵高中
aa3A1ca43,新竹高中
eadA1f3fa,新竹高中
65cA1f492,忠明高中
16dA175db,衛道高中
5e6A10679,台中一中高中
5c1A1345e,台中二中高中
37cA15ba5,中興高中
919A1aa8a,彰化女中
d68A1a042,高雄女中
663A10b8c,中崙高中
f2dA10ba3,和平高中
de9A13beb,中和高中
84bA1e39d,中和高中
952A12529,桃園高中
806A11dfe,啟英高中
fb0A123f5,新竹高中
81aA1139c,中興高中
83bA16dc7,慧燈高中
b79A191b7,宜蘭高中
edeA1f900,明倫高中
eb0A175c8,大甲高中
3ebA110c5,弘文高中
113A11197,育成高中
1cfA16489,內湖高中
95bA194a6,成功高中
fa9A1e7b0,成功高中
7b0A18c87,建國高中
565A195db,再興高中
344A1acb1,第一女中
0c6A18ead,延平高中
278A107e1,延平高中
69eA14170,麗山高中
659A1dfa8,延平高中
940A10245,板橋高中
e95A18a11,中和高中
dc3A1420d,中和高中
1e6A1af0d,板橋高中
b3bA171c5,桃園高中
71fA1d551,武陵高中
3d8A181ef,陽明高中
906A1c3d6,武陵高中
550A16760,台中一中高中
5b5A1c357,衛道高中
553A1894a,台中一中高中
90fA18b57,嘉義女中
d7eA19a18,台南一中高中
b8cA1db4f,道明高中
f78A1b97f,松山高中
effA1cf98,成功高中
af1A1baea,台中一中高中
5fcA11cfd,建國高中
525A1ec28,新竹高中
92aA1dbbf,大直高中
372A1ee5d,麗山高中
c96A1b11c,景美女中
413A16e29,成淵高中
0c2A19cc9,中山女中
cfcA10116,板橋高中
e48A17195,松山高中
f1eA173e7,永平高中
710A1d5e8,中和高中
3f3A18d9d,松山高中
41eA1bc75,桃園高中
413A12c38,桃園高中
2beA1f08b,桃園高中
d1eA16504,平鎮高中
a97A1b53a,中壢高中
09fA12c87,中壢高中
af8A1d0d8,內壢高中
9a6A12ae7,台中一中高中
543A15ec7,惠文高中
b2cA125bb,衛道高中
3a2A147b7,台中一中高中
b51A12c49,彰化高中
819Y1e51d,松山高中
63fY1fe6a,師範大學附中
6beY1d00a,建國高中
8dcY1313f,師範大學附中
724Y1d2fa,西松高中
31cY1038f,景美女中
86eY1f331,成功高中
954Y12b5c,師範大學附中
bbeY19fef,中崙高中
323Y1ebaf,桃園高中
b82Y167d6,桃園高中
039Y1928f,桃園高中
63fY1aa69,武陵高中
8baY10917,桃園高中
b25Y1cad4,台中一中高中
bcaY10b6f,台中一中高中
44dY1310b,文華高中
f87Y15742,正心高中
ca8Y144d0,南光高中
cffY12a2c,高雄女中
4acY12eb4,高雄女中
982Y111dd,高雄女中
ce6Y1c367,高雄高中
f93Y1de31,瑞祥高中
0e4Y113b7,羅東高中
40aY14809,蘭陽女中
28fY1bb03,新竹高中
7a0Y185f4,建國高中
21dY122e9,景美女中
c79Y1d587,景美女中
f89Y1339d,板橋高中
bc1Y134ba,成功高中
fd4Y189bc,文華高中
2adY17392,中興大學附中
18fY1a7b1,台中女中
fc0Y1c19c,彰化高中
a4dY109ec,彰化女中
0c5Y18d53,家齊女中
bbfY1158b,鳳山高中
c60Y1bf4b,高雄高中
e75Y17bc0,蘭陽女中
be1Y1ca83,成功高中
675Y1b305,中正高中
29aY18609,第一女中
a0cY16423,中山女中
39bY17aac,第一女中
f66Y131d6,板橋高中
751Y1c6f8,建國高中
3ddY121e3,武陵高中
a46Y1e0cb,建國高中
712Y170f3,武陵高中
d90Y171e3,新竹女中
b26Y1f29f,竹北高中
eafY1e312,中興大學附中
f07Y11c68,惠文高中
304Y13a1b,曉明女中
a18Y1e2d8,台中女中
7b0Y11fdc,員林高中
aa8Y17d5d,台南一中高中
3ddY11f1a,鳳山高中
c58Y16d2d,高雄女中
c3aY15199,高雄女中
192Y19802,鳳山高中
567Y16aa2,新莊高中
adfY16690,高雄高中
3e5Y1ded7,高雄師範大學附中
318Y14696,內壢高中
0c0Y10f0d,建國高中
47aY1cb1d,建國高中
3c8Y190b2,成功高中
deeY19349,斗六高中
bebY11994,嘉義女中
a3cY109c6,興國高中
e1cY1cee5,高雄女中
ab7Y11c3a,高雄女中
0e2Y1e58b,高雄女中
544Y1538c,惠文高中
31eY18e4f,中科實驗高中
763Y143cc,瑞祥高中
0c7Y1b1d4,師範大學附中
ed0Y1e167,師範大學附中
749Y14e2d,中山女中
87cY18ac3,中山女中
820Y1fb9b,松山高中
2e6Y1a2f4,竹林高中
448Y1304b,桃園高中
64cY17aca,桃園高中
0f3Y190c7,武陵高中
705Y1b81e,中壢高中
417Y15055,中壢高中
35fY17cbc,建臺高中
59bY1535c,台中女中
28bY19a0d,家齊女中
ca6Y18a8e,高雄女中
adaY17514,高雄女中
019Y147da,高雄女中
589Y19b53,鳳新高中
a91Y14574,高雄女中
f39Y16b28,蘭陽女中
bc5Y1fcb6,高雄師範大學附中
73aY156db,成功高中
eeeY144ff,成功高中
154Y1e381,成功高中
b5fY15d71,中崙高中
2f5Y16087,復興實驗高中
6ccY14e17,松山高中
9d8Y14017,大同高中
a90Y1d505,桃園高中
492Y1a17f,衛道高中
124Y14894,文華高中
cf4Y16bb9,台中一中高中
046Y1568a,虎尾高中
6bcY1b5a4,台南女中
f29Y11e4b,台南一中高中
0c6Y1fd80,中崙高中
f10Y12116,海山高中
3c1Y1c5c2,西松高中
88eY1abfb,明道高中
1e5Y1b1f2,大同高中
23bY1a998,大同高中
cdfY17c80,大同高中
c19Y12849,建國高中
173Y1b61d,成功高中
2f3Y10a32,延平高中
39eY1f1f4,延平高中
014Y1d28b,政治大學附中
154Y14f8b,政治大學附中
28cY1e725,和平高中
e3eY114b1,和平高中
bceY14cb2,景美女中
fe9Y1d8c2,景美女中
e78Y1cd85,中山女中
4bdY1759b,中山女中
981Y195a5,第一女中
634Y1ee8c,中崙高中
93bY1e577,海山高中
f61Y16cf5,海山高中
f73Y137f1,松山高中
a02Y1a384,景美女中
192Y1a960,建國高中
9c0Y13b05,第一女中
69dY1855d,大同高中
e85Y1d6f8,松山高中
c84Y10d98,大直高中
da9Y15b58,景美女中
3f2Y16616,永平高中
c7eY10624,中和高中
f32Y124be,基隆女中
fffY16a14,桃園高中
ffbY18b12,內壢高中
ca7Y166d9,武陵高中
13dY1b71b,新竹高中
890Y1e927,新竹女中
289Y1bf61,新竹女中
c90Y121ec,竹北高中
57fY19a3d,中興大學附中
8abY1bd2b,中興大學附中
8e2Y12831,忠明高中
3a3Y16367,台中一中高中
745Y12fbd,惠文高中
582Y17437,台中市立東山高中
e6cY1cbf9,台中二中高中
030Y1bb78,彰化女中
46fY123fd,台南女中
00eY10b4f,台南女中
43aY1a90d,台南一中高中
742Y1d7ac,鳳山高中
831Y13059,高雄女中
716Y1eb6d,高雄高中
c7eY1eb1c,宜蘭高中
6efY1e950,羅東高中
7b4Y19927,宜蘭高中
e4dY174a0,蘭陽女中
919Y1ca9a,建國高中
435Y17e7e,桃園高中
1adY15b76,中山女中
a1eY174a2,大直高中
6dfY16009,大直高中
a54Y1d054,師範大學附中
cffY17bc8,內湖高中
2ddY17b6a,中和高中
0e7Y159ce,中和高中
a8cY13661,新莊高中
093Y110b7,永平高中
1afY1d235,中和高中
d43Y1fa75,惠文高中
3a1Y19db0,斗六高中
d83Y1074d,屏東女中
f35Y1fe27,建國高中
a8aY10788,新莊高中
9a9Y106ce,花蓮女中
a0fY1927b,馬公高中
ebeY1a74d,百齡高中
ea1Y1613e,中正高中
b10Y1835f,方濟高中
3e1Y1b734,樹林高中
245Y157c7,辭修高中
e64Y1e902,林口高中
3b8Y13265,泰山高中
2b1Y1f5e7,桃園高中
77cY17ea4,壽山高中
cfdY1723f,龍潭農工
bfeY14f99,平鎮高中
15bY115d7,治平高中
8f7Y13a4d,竹東高中
c9bY1e758,湖口高中
4a1Y1c415,東海大學附中
eb8Y13556,中興高中
0baY138be,溪湖高中
cd6Y1fc16,斗南高中
dcaY113e2,第一女中
df2Y1fed6,師範大學附中
019Y1c2cf,成功高中
a7cY19d5b,成功高中
c4cY11a06,延平高中
d79Y19230,西松高中
9daY1e0c4,中和高中
4e9Y11d00,台中二中高中
cc0Y1cf17,嘉義女中
9f4Y15c87,建國高中
156Y1012a,大同高中
811Y14e4b,成功高中
4baY1e929,延平高中
cb6Y11bdb,政治大學附中
b35Y10361,再興高中
685Y14d9e,薇閣高中
513Y1cb94,中正高中
154Y17b9a,大同高中
de9Y1c8c1,內湖高中
461Y18b51,師範大學附中
a6bY10d06,東山高中
a8eY10d9c,和平高中
796Y15f8e,第一女中
aa3Y126be,中山女中
580Y1bea2,中山女中
4bcY174b2,第一女中
794Y1383d,景美女中
a3aY1b557,景美女中
31eY1f5b2,第一女中
70cY1cd90,中山女中
2ebY17f06,大直高中
e11Y1740c,板橋高中
655Y142c6,中和高中
d9bY1feef,板橋高中
f69Y1081e,海山高中
349Y10ea1,中山女中
1c5Y173a8,中和高中
a5eY1dd1c,成功高中
95eY1d869,中山女中
661Y166c6,永平高中
860Y11c2f,中和高中
cc9Y14ba4,基隆女中
08aY10706,基隆女中
313Y1d046,桃園高中
f40Y1dc8c,桃園高中
3eaY1ae5f,武陵高中
299Y14e99,中壢高中
7d5Y13cb9,中壢高中
ec2Y179a1,中壢高中
0b1Y18029,武陵高中
fe6Y1ff5f,新竹高中
4efY1f86e,新竹高中
b59Y17808,台中一中高中
711Y1da6d,明道高中
2c9Y10f38,台中一中高中
caaY147c9,台中女中
7e4Y1cc56,彰化高中
8a8Y1f781,斗六高中
30fY1e7af,嘉義高中
4d8Y11a1a,協同高中
fb9Y1d315,家齊女中
3baY19725,台南一中高中
c1aY17f13,台南一中高中
b01Y1b766,高雄高中
656Y1e252,南湖高中
786Y1ea60,板橋高中
d48Y16851,新竹高中
834Y16917,師範大學附中
201Y190b3,板橋高中
bc4Y17fb9,中正高中
