入學年,經原學年期,個經學年期,總經學年期,經原PR,個經PR,總經PR,可修個體,可修總體
100,100-2,101-1,101-1,0.22448979591836735,0.46808510638297873,0.2073170731707317,1,1
100,100-2,101-1,101-1,0.22448979591836735,0.8125,0.2073170731707317,1,1
100,100-2,101-1,101-1,0.22448979591836735,0.7222222222222222,0.2073170731707317,1,1
100,100-2,101-1,101-1,0.38636363636363635,0.8125,0.2073170731707317,1,1
100,100-2,101-1,101-1,0.22448979591836735,0.46808510638297873,0.2073170731707317,1,1
100,100-2,101-1,101-1,0.22448979591836735,0.46808510638297873,0.2073170731707317,1,1
100,101-2,101-1,NA,0.04878048780487805,0.7222222222222222,NA,1,0
100,100-2,101-1,101-1,0.9230769230769231,0.46808510638297873,0.2073170731707317,1,1
100,100-2,101-1,101-1,0.38636363636363635,0.46808510638297873,0.4583333333333333,1,1
100,100-1,NA,NA,0.5434782608695652,NA,NA,0,0
100,100-2,101-1,101-1,0.9230769230769231,0.8125,0.4583333333333333,1,1
100,100-2,101-1,101-1,0.22448979591836735,0.7222222222222222,0.4583333333333333,1,1
100,101-2,101-1,102-1,0.5795454545454546,0.8125,0.08333333333333333,1,0
100,101-2,101-1,103-1,0.04878048780487805,0.8125,0.6538461538461539,1,0
100,100-2,101-1,101-1,0.9230769230769231,0.8125,0.2073170731707317,1,1
100,100-2,101-1,101-1,0.9230769230769231,0.46808510638297873,0.2073170731707317,1,1
100,100-2,101-1,101-1,0.38636363636363635,0.46808510638297873,0.2073170731707317,1,1
100,100-2,101-1,101-1,0.38636363636363635,0.8125,0.2073170731707317,1,1
100,100-2,101-1,101-1,0.22448979591836735,0.46808510638297873,0.4583333333333333,1,1
100,100-2,101-1,101-1,0.9230769230769231,0.8125,0.2073170731707317,1,1
100,100-2,101-1,101-1,0.38636363636363635,0.46808510638297873,0.2073170731707317,1,1
100,100-2,101-1,101-1,0.9230769230769231,0.46808510638297873,0.2073170731707317,1,1
100,100-2,101-1,101-1,0.22448979591836735,0.8125,0.4583333333333333,1,1
100,100-2,101-1,101-1,0.22448979591836735,0.7222222222222222,0.2073170731707317,1,1
100,100-2,101-1,101-1,0.22448979591836735,0.8125,0.2073170731707317,1,1
100,100-2,101-1,101-1,0.22448979591836735,0.46808510638297873,0.2073170731707317,1,1
100,100-2,101-1,101-1,0.38636363636363635,0.8125,0.2073170731707317,1,1
100,100-2,101-1,101-1,0.38636363636363635,0.46808510638297873,0.4583333333333333,1,1
100,100-2,101-1,101-1,0.9230769230769231,0.8125,0.4583333333333333,1,1
100,100-2,101-1,101-1,0.22448979591836735,0.46808510638297873,0.2073170731707317,1,1
100,100-2,101-1,101-1,0.22448979591836735,0.7222222222222222,0.2073170731707317,1,1
100,100-2,101-1,101-1,0.38636363636363635,0.8125,0.2073170731707317,1,1
100,100-2,101-1,101-1,0.38636363636363635,0.46808510638297873,0.2073170731707317,1,1
100,100-2,101-1,101-1,0.22448979591836735,0.46808510638297873,0.4583333333333333,1,1
100,100-2,101-1,101-1,0.9230769230769231,0.8125,0.2073170731707317,1,1
100,100-2,101-1,101-1,0.22448979591836735,0.8125,0.2073170731707317,1,1
100,100-2,101-1,101-1,0.22448979591836735,0.46808510638297873,0.2073170731707317,1,1
100,100-2,101-1,101-1,0.9230769230769231,0.7222222222222222,0.4583333333333333,1,1
100,101-1,103-1,101-1,0.13953488372093023,0.2631578947368421,0.2073170731707317,0,1
100,100-2,101-1,101-1,0.9230769230769231,0.8125,0.2073170731707317,1,1
100,100-2,101-1,101-1,0.9230769230769231,0.46808510638297873,0.2073170731707317,1,1
100,100-1,NA,NA,0.5434782608695652,NA,NA,1,0
100,100-2,101-1,101-1,0.38636363636363635,0.8125,0.2073170731707317,1,1
100,100-2,101-1,101-1,0.38636363636363635,0.8125,0.4583333333333333,1,1
100,100-2,101-1,101-1,0.22448979591836735,0.8125,0.2073170731707317,1,1
100,100-2,101-1,101-1,0.22448979591836735,0.8125,0.2073170731707317,1,1
100,100-2,101-1,101-1,0.22448979591836735,0.7222222222222222,0.4583333333333333,1,1
100,100-2,101-1,101-1,0.22448979591836735,0.46808510638297873,0.2073170731707317,1,1
100,100-2,101-1,101-1,0.38636363636363635,0.8125,0.2073170731707317,1,1
100,100-2,101-1,101-1,0.22448979591836735,0.8125,0.2073170731707317,1,1
100,100-2,101-1,101-1,0.38636363636363635,0.7222222222222222,0.2073170731707317,1,1
100,100-2,101-1,101-1,0.38636363636363635,0.46808510638297873,0.4583333333333333,1,1
100,100-2,101-1,101-1,0.38636363636363635,0.46808510638297873,0.2073170731707317,1,1
100,100-2,101-1,101-1,0.22448979591836735,0.8125,0.4583333333333333,1,1
100,100-2,101-1,101-1,0.38636363636363635,0.8125,0.2073170731707317,1,1
100,100-2,101-1,101-1,0.9230769230769231,0.46808510638297873,0.2073170731707317,1,1
100,101-2,101-1,103-1,0.04878048780487805,0.7222222222222222,0.6538461538461539,1,0
100,100-2,101-1,101-1,0.38636363636363635,0.46808510638297873,0.2073170731707317,1,1
100,100-2,101-1,101-1,0.38636363636363635,0.7222222222222222,0.2073170731707317,1,1
100,100-2,101-1,101-1,0.38636363636363635,0.7222222222222222,0.2073170731707317,1,1
100,100-2,101-1,101-1,0.22448979591836735,0.8125,0.4583333333333333,1,1
100,100-2,NA,NA,0.38636363636363635,NA,NA,1,0
100,100-2,101-1,101-1,0.38636363636363635,0.46808510638297873,0.2073170731707317,1,1
100,100-2,101-1,101-1,0.22448979591836735,0.8125,0.2073170731707317,1,1
100,100-2,101-1,101-1,0.38636363636363635,0.7222222222222222,0.2073170731707317,1,1
100,100-2,101-1,101-1,0.22448979591836735,0.8125,0.2073170731707317,1,1
100,100-2,101-1,101-1,0.22448979591836735,0.8125,0.4583333333333333,1,1
100,101-2,101-1,102-1,0.04878048780487805,0.7222222222222222,0.08333333333333333,1,0
100,100-2,101-1,101-1,0.9230769230769231,0.8125,0.4583333333333333,1,1
100,100-2,101-1,101-1,0.22448979591836735,0.46808510638297873,0.2073170731707317,1,1
100,100-2,101-1,101-1,0.38636363636363635,0.46808510638297873,0.2073170731707317,1,1
100,100-2,101-1,101-1,0.22448979591836735,0.46808510638297873,0.2073170731707317,1,1
100,100-2,101-1,101-1,0.22448979591836735,0.46808510638297873,0.2073170731707317,1,1
100,100-2,101-1,101-1,0.22448979591836735,0.8125,0.2073170731707317,1,1
100,100-2,101-1,101-1,0.22448979591836735,0.46808510638297873,0.2073170731707317,1,1
100,101-2,101-1,102-1,0.5795454545454546,0.46808510638297873,0.7571428571428571,1,0
100,100-2,101-1,101-1,0.38636363636363635,0.7222222222222222,0.2073170731707317,1,1
100,100-2,101-1,101-1,0.38636363636363635,0.8125,0.2073170731707317,1,1
100,100-2,101-1,101-1,0.9230769230769231,0.8125,0.2073170731707317,1,1
100,100-2,101-1,101-1,0.9230769230769231,0.8125,0.2073170731707317,1,1
100,100-2,101-1,101-1,0.22448979591836735,0.8125,0.2073170731707317,1,1
100,100-2,101-1,101-1,0.38636363636363635,0.7222222222222222,0.2073170731707317,1,1
100,100-2,101-1,101-1,0.22448979591836735,0.46808510638297873,0.2073170731707317,1,1
100,100-2,101-1,101-1,0.38636363636363635,0.46808510638297873,0.2073170731707317,1,1
100,100-2,101-1,101-1,0.22448979591836735,0.46808510638297873,0.2073170731707317,1,1
100,100-2,101-1,101-1,0.22448979591836735,0.46808510638297873,0.2073170731707317,1,1
100,100-2,101-1,101-1,0.22448979591836735,0.7222222222222222,0.4583333333333333,1,1
100,100-2,101-1,101-1,0.22448979591836735,0.8125,0.2073170731707317,1,1
100,100-2,101-1,101-1,0.9230769230769231,0.46808510638297873,0.2073170731707317,1,1
100,100-2,101-1,101-1,0.38636363636363635,0.46808510638297873,0.2073170731707317,1,1
100,100-2,101-1,101-1,0.38636363636363635,0.46808510638297873,0.2073170731707317,1,1
100,100-2,101-1,101-1,0.9230769230769231,0.8125,0.2073170731707317,1,1
100,100-2,101-1,101-1,0.22448979591836735,0.46808510638297873,0.4583333333333333,1,1
100,100-2,101-1,101-1,0.38636363636363635,0.8125,0.2073170731707317,1,1
100,100-2,101-1,101-1,0.38636363636363635,0.8125,0.2073170731707317,1,1
100,101-2,101-1,103-1,0.04878048780487805,0.8125,0.6538461538461539,1,0
100,100-2,102-1,102-1,0.38636363636363635,0.014285714285714285,0.7571428571428571,1,1
100,100-2,101-1,101-1,0.38636363636363635,0.8125,0.2073170731707317,1,1
100,102-1,104-1,102-1,0.29411764705882354,0.52,0.7571428571428571,0,0
100,100-2,101-1,101-1,0.38636363636363635,0.46808510638297873,0.2073170731707317,1,1
100,100-2,101-1,101-1,0.9230769230769231,0.46808510638297873,0.4583333333333333,1,1
100,100-2,101-1,101-1,0.38636363636363635,0.7222222222222222,0.2073170731707317,1,1
100,100-2,101-1,101-1,0.38636363636363635,0.8125,0.2073170731707317,1,1
