銀行,年月,活期存款-固定,活期存款-機動,活儲存款-固定,活儲存款-機動,定存利率-一個月-固定,定存利率-一個月-機動,定存利率-三個月-固定,定存利率-三個月-機動,定存利率-六個月-固定,定存利率-六個月-機動,定存利率-九個月-固定,定存利率-九個月-機動,定存利率-一年期-固定,定存利率-一年期-機動,定存利率-二年期-固定,定存利率-二年期-機動,定存利率-三年期-固定,定存利率-三年期-機動,定儲利率-一年期-固定,定儲利率-一年期-機動,定儲利率-二年期-固定,定儲利率-二年期-機動,定儲利率-三年期-固定,定儲利率-三年期-機動,指數房貸-固定,指數房貸-機動,房貸月指-固定,房貸月指-機動,基準利率-固定,基準利率-機動
合作金庫,098/12,--,0.100,--,0.230,0.455,0.580,0.515,0.620,0.695,0.775,0.825,0.900,0.880,1.005,0.935,1.030,0.960,1.055,0.905,1.030,0.960,1.055,1.000,1.105,--,1.030,--,1.030,--,2.530
合作金庫,099/01,--,0.100,--,0.230,0.455,0.580,0.515,0.620,0.695,0.775,0.825,0.900,0.880,1.005,0.935,1.030,0.960,1.055,0.905,1.030,0.960,1.055,1.000,1.105,--,1.030,--,1.030,--,2.530
合作金庫,099/02,--,0.100,--,0.230,0.455,0.580,0.515,0.620,0.695,0.775,0.825,0.900,0.880,1.005,0.935,1.030,0.960,1.055,0.905,1.030,0.960,1.055,1.000,1.105,--,1.030,--,1.030,--,2.530
合作金庫,099/03,--,0.100,--,0.230,0.455,0.580,0.515,0.620,0.695,0.775,0.825,0.900,0.880,1.005,0.935,1.030,0.960,1.055,0.905,1.030,0.960,1.055,1.000,1.105,--,1.030,--,1.030,--,2.530
合作金庫,099/04,--,0.100,--,0.230,0.455,0.580,0.515,0.620,0.695,0.775,0.825,0.900,0.880,1.005,0.935,1.030,0.960,1.055,0.905,1.030,0.960,1.055,1.000,1.105,--,1.030,--,1.030,--,2.530
合作金庫,099/05,--,0.100,--,0.230,0.455,0.580,0.515,0.620,0.695,0.775,0.825,0.900,0.880,1.005,0.935,1.030,0.960,1.055,0.905,1.030,0.960,1.055,1.000,1.105,--,1.030,--,1.030,--,2.530
合作金庫,099/06,--,0.110,--,0.250,0.580,0.640,0.640,0.680,0.790,0.835,0.920,0.960,1.005,1.065,1.060,1.090,1.085,1.115,1.030,1.090,1.085,1.115,1.125,1.165,--,1.030,--,1.030,--,2.530
合作金庫,099/07,--,0.110,--,0.250,0.580,0.640,0.640,0.680,0.790,0.835,0.920,0.960,1.005,1.065,1.060,1.090,1.085,1.115,1.030,1.090,1.085,1.115,1.125,1.165,--,1.030,--,1.090,--,2.530
合作金庫,099/08,--,0.110,--,0.250,0.580,0.640,0.640,0.680,0.790,0.835,0.920,0.960,1.005,1.065,1.060,1.090,1.085,1.115,1.030,1.090,1.085,1.115,1.125,1.165,--,1.030,--,1.090,--,2.590
合作金庫,099/09,--,0.110,--,0.250,0.580,0.640,0.640,0.680,0.790,0.835,0.920,0.960,1.005,1.065,1.060,1.090,1.085,1.115,1.030,1.090,1.085,1.115,1.125,1.165,--,1.090,--,1.090,--,2.590
合作金庫,099/10,--,0.120,--,0.270,0.660,0.700,0.740,0.740,0.900,0.895,1.030,1.020,1.130,1.125,1.170,1.150,1.195,1.175,1.155,1.150,1.195,1.175,1.245,1.225,--,1.090,--,1.130,--,2.630
合作金庫,099/11,--,0.120,--,0.270,0.660,0.700,0.740,0.740,0.900,0.895,1.030,1.020,1.130,1.125,1.170,1.150,1.195,1.175,1.155,1.150,1.195,1.175,1.245,1.225,--,1.090,--,1.150,--,2.630
合作金庫,099/12,--,0.120,--,0.270,0.660,0.700,0.740,0.740,0.900,0.895,1.030,1.020,1.130,1.125,1.170,1.150,1.195,1.175,1.155,1.150,1.195,1.175,1.245,1.225,--,1.150,--,1.150,--,2.650
合作金庫,100/01,--,0.130,--,0.280,0.750,0.750,0.790,0.790,0.960,0.945,1.090,1.070,1.190,1.175,1.230,1.200,1.255,1.225,1.215,1.200,1.255,1.225,1.305,1.275,--,1.150,--,1.200,--,2.650
合作金庫,100/02,--,0.130,--,0.280,0.750,0.750,0.790,0.790,0.960,0.945,1.090,1.070,1.190,1.175,1.230,1.200,1.255,1.225,1.215,1.200,1.255,1.225,1.305,1.275,--,1.150,--,1.200,--,2.700
合作金庫,100/03,--,0.130,--,0.280,0.750,0.750,0.790,0.790,0.960,0.945,1.090,1.070,1.190,1.175,1.230,1.200,1.255,1.225,1.215,1.200,1.255,1.225,1.305,1.275,--,1.200,--,1.200,--,2.700
合作金庫,100/04,--,0.160,--,0.310,0.820,0.820,0.870,0.870,1.050,1.035,1.180,1.160,1.280,1.265,1.320,1.290,1.345,1.315,1.305,1.290,1.345,1.315,1.395,1.365,--,1.200,--,1.200,--,2.700
合作金庫,100/05,--,0.160,--,0.310,0.820,0.820,0.870,0.870,1.050,1.035,1.180,1.160,1.280,1.265,1.320,1.290,1.345,1.315,1.305,1.290,1.345,1.315,1.395,1.365,--,1.200,--,1.290,--,2.700
合作金庫,100/06,--,0.160,--,0.310,0.820,0.820,0.870,0.870,1.050,1.035,1.180,1.160,1.280,1.265,1.320,1.290,1.345,1.315,1.305,1.290,1.345,1.315,1.395,1.365,--,1.290,--,1.290,--,2.790
合作金庫,100/07,--,0.170,--,0.330,0.880,0.880,0.940,0.940,1.130,1.115,1.250,1.230,1.360,1.345,1.400,1.370,1.425,1.395,1.385,1.370,1.425,1.395,1.475,1.445,--,1.290,--,1.370,--,2.790
合作金庫,100/08,--,0.170,--,0.330,0.880,0.880,0.940,0.940,1.130,1.115,1.250,1.230,1.360,1.345,1.400,1.370,1.425,1.395,1.385,1.370,1.425,1.395,1.475,1.445,--,1.290,--,1.370,--,2.870
合作金庫,100/09,--,0.170,--,0.330,0.880,0.880,0.940,0.940,1.130,1.115,1.250,1.230,1.360,1.345,1.400,1.370,1.425,1.395,1.385,1.370,1.425,1.395,1.475,1.445,--,1.370,--,1.370,--,2.870
合作金庫,100/10,--,0.170,--,0.330,0.880,0.880,0.940,0.940,1.130,1.115,1.250,1.230,1.360,1.345,1.400,1.370,1.425,1.395,1.385,1.370,1.425,1.395,1.475,1.445,--,1.370,--,1.370,--,2.870
合作金庫,100/11,--,0.170,--,0.330,0.880,0.880,0.940,0.940,1.130,1.115,1.250,1.230,1.360,1.345,1.400,1.370,1.425,1.395,1.385,1.370,1.425,1.395,1.475,1.445,--,1.370,--,1.370,--,2.870
合作金庫,100/12,--,0.170,--,0.330,0.880,0.880,0.940,0.940,1.130,1.115,1.250,1.230,1.360,1.345,1.400,1.370,1.425,1.395,1.385,1.370,1.425,1.395,1.475,1.445,--,1.370,--,1.370,--,2.870
合作金庫,101/01,--,0.170,--,0.330,0.880,0.880,0.940,0.940,1.130,1.115,1.250,1.230,1.360,1.345,1.400,1.370,1.425,1.395,1.385,1.370,1.425,1.395,1.475,1.445,--,1.370,--,1.370,--,2.870
合作金庫,101/02,--,0.170,--,0.330,0.880,0.880,0.940,0.940,1.130,1.115,1.250,1.230,1.360,1.345,1.400,1.370,1.425,1.395,1.385,1.370,1.425,1.395,1.475,1.445,--,1.370,--,1.370,--,2.870
合作金庫,101/03,--,0.170,--,0.330,0.880,0.880,0.940,0.940,1.130,1.115,1.250,1.230,1.360,1.345,1.400,1.370,1.425,1.395,1.385,1.370,1.425,1.395,1.475,1.445,--,1.370,--,1.370,--,2.870
合作金庫,101/04,--,0.170,--,0.330,0.880,0.880,0.940,0.940,1.130,1.115,1.250,1.230,1.360,1.345,1.400,1.370,1.425,1.395,1.385,1.370,1.425,1.395,1.475,1.445,--,1.370,--,1.370,--,2.870
合作金庫,101/05,--,0.170,--,0.330,0.880,0.880,0.940,0.940,1.130,1.115,1.250,1.230,1.360,1.345,1.400,1.370,1.425,1.395,1.385,1.370,1.425,1.395,1.475,1.445,--,1.370,--,1.370,--,2.870
合作金庫,101/06,--,0.170,--,0.330,0.880,0.880,0.940,0.940,1.130,1.115,1.250,1.230,1.360,1.345,1.400,1.370,1.425,1.395,1.385,1.370,1.425,1.395,1.475,1.445,--,1.370,--,1.370,--,2.870
合作金庫,101/07,--,0.170,--,0.330,0.880,0.880,0.940,0.940,1.130,1.115,1.250,1.230,1.360,1.345,1.400,1.370,1.425,1.395,1.385,1.370,1.425,1.395,1.475,1.445,--,1.370,--,1.370,--,2.870
合作金庫,101/08,--,0.170,--,0.330,0.880,0.880,0.940,0.940,1.130,1.115,1.250,1.230,1.360,1.345,1.400,1.370,1.425,1.395,1.385,1.370,1.425,1.395,1.475,1.445,--,1.370,--,1.370,--,2.870
合作金庫,101/09,--,0.170,--,0.330,0.880,0.880,0.940,0.940,1.130,1.115,1.250,1.230,1.360,1.345,1.400,1.370,1.425,1.395,1.385,1.370,1.425,1.395,1.475,1.445,--,1.370,--,1.370,--,2.870
合作金庫,101/10,--,0.170,--,0.330,0.880,0.880,0.940,0.940,1.130,1.115,1.250,1.230,1.360,1.345,1.400,1.370,1.425,1.395,1.385,1.370,1.425,1.395,1.475,1.445,--,1.370,--,1.370,--,2.870
合作金庫,101/11,--,0.170,--,0.330,0.880,0.880,0.940,0.940,1.130,1.115,1.250,1.230,1.360,1.345,1.400,1.370,1.425,1.395,1.385,1.370,1.425,1.395,1.475,1.445,--,1.370,--,1.370,--,2.870
合作金庫,101/12,--,0.170,--,0.330,0.880,0.880,0.940,0.940,1.130,1.115,1.250,1.230,1.360,1.345,1.400,1.370,1.425,1.395,1.385,1.370,1.425,1.395,1.475,1.445,--,1.370,--,1.370,--,2.870
合作金庫,102/01,--,0.170,--,0.330,0.880,0.880,0.940,0.940,1.130,1.115,1.250,1.230,1.360,1.345,1.400,1.370,1.425,1.395,1.385,1.370,1.425,1.395,1.475,1.445,--,1.370,--,1.370,--,2.870
合作金庫,102/02,--,0.170,--,0.330,0.880,0.880,0.940,0.940,1.130,1.115,1.250,1.230,1.360,1.345,1.400,1.370,1.425,1.395,1.385,1.370,1.425,1.395,1.475,1.445,--,1.370,--,1.370,--,2.870
合作金庫,102/03,--,0.170,--,0.330,0.880,0.880,0.940,0.940,1.130,1.115,1.250,1.230,1.360,1.345,1.400,1.370,1.425,1.395,1.385,1.370,1.425,1.395,1.475,1.445,--,1.370,--,1.370,--,2.870
合作金庫,102/04,--,0.170,--,0.330,0.880,0.880,0.940,0.940,1.130,1.115,1.250,1.230,1.360,1.345,1.400,1.370,1.425,1.395,1.385,1.370,1.425,1.395,1.475,1.445,--,1.370,--,1.370,--,2.870
合作金庫,102/05,--,0.170,--,0.330,0.880,0.880,0.940,0.940,1.130,1.115,1.250,1.230,1.360,1.345,1.400,1.370,1.425,1.395,1.385,1.370,1.425,1.395,1.475,1.445,--,1.370,--,1.370,--,2.870
合作金庫,102/06,--,0.170,--,0.330,0.880,0.880,0.940,0.940,1.130,1.115,1.250,1.230,1.360,1.345,1.400,1.370,1.425,1.395,1.385,1.370,1.425,1.395,1.475,1.445,--,1.370,--,1.370,--,2.870
合作金庫,102/07,--,0.170,--,0.330,0.880,0.880,0.940,0.940,1.130,1.115,1.250,1.230,1.360,1.345,1.400,1.370,1.425,1.395,1.385,1.370,1.425,1.395,1.475,1.445,--,1.370,--,1.370,--,2.870
合作金庫,102/08,--,0.170,--,0.330,0.880,0.880,0.940,0.940,1.130,1.115,1.250,1.230,1.360,1.345,1.400,1.370,1.425,1.395,1.385,1.370,1.425,1.395,1.475,1.445,--,1.370,--,1.370,--,2.870
合作金庫,102/09,--,0.170,--,0.330,0.880,0.880,0.940,0.940,1.130,1.115,1.250,1.230,1.360,1.345,1.400,1.370,1.425,1.395,1.385,1.370,1.425,1.395,1.475,1.445,--,1.370,--,1.370,--,2.870
合作金庫,102/10,--,0.170,--,0.330,0.880,0.880,0.940,0.940,1.130,1.115,1.250,1.230,1.360,1.345,1.400,1.370,1.425,1.395,1.385,1.370,1.425,1.395,1.475,1.445,--,1.370,--,1.370,--,2.870
合作金庫,102/11,--,0.170,--,0.330,0.880,0.880,0.940,0.940,1.130,1.115,1.250,1.230,1.360,1.345,1.400,1.370,1.425,1.395,1.385,1.370,1.425,1.395,1.475,1.445,--,1.370,--,1.370,--,2.870
合作金庫,102/12,--,0.170,--,0.330,0.880,0.880,0.940,0.940,1.130,1.115,1.250,1.230,1.360,1.345,1.400,1.370,1.425,1.395,1.385,1.370,1.425,1.395,1.475,1.445,--,1.370,--,1.370,--,2.870
合作金庫,103/01,--,0.170,--,0.330,0.880,0.880,0.940,0.940,1.130,1.115,1.250,1.230,1.360,1.345,1.400,1.370,1.425,1.395,1.385,1.370,1.425,1.395,1.475,1.445,--,1.370,--,1.370,--,2.870
合作金庫,103/02,--,0.170,--,0.330,0.880,0.880,0.940,0.940,1.130,1.115,1.250,1.230,1.360,1.345,1.400,1.370,1.425,1.395,1.385,1.370,1.425,1.395,1.475,1.445,--,1.370,--,1.370,--,2.870
合作金庫,103/03,--,0.170,--,0.330,0.880,0.880,0.940,0.940,1.130,1.115,1.250,1.230,1.360,1.345,1.400,1.370,1.425,1.395,1.385,1.370,1.425,1.395,1.475,1.445,--,1.370,--,1.370,--,2.870
合作金庫,103/04,--,0.170,--,0.330,0.880,0.880,0.940,0.940,1.130,1.115,1.250,1.230,1.360,1.345,1.400,1.370,1.425,1.395,1.385,1.370,1.425,1.395,1.475,1.445,--,1.370,--,1.370,--,2.870
合作金庫,103/05,--,0.170,--,0.330,0.880,0.880,0.940,0.940,1.130,1.115,1.250,1.230,1.360,1.345,1.400,1.370,1.425,1.395,1.385,1.370,1.425,1.395,1.475,1.445,--,1.370,--,1.370,--,2.870
合作金庫,103/06,--,0.170,--,0.330,0.880,0.880,0.940,0.940,1.130,1.115,1.250,1.230,1.360,1.345,1.400,1.370,1.425,1.395,1.385,1.370,1.425,1.395,1.475,1.445,--,1.370,--,1.370,--,2.870
合作金庫,103/07,--,0.170,--,0.330,0.880,0.880,0.940,0.940,1.130,1.115,1.250,1.230,1.360,1.345,1.400,1.370,1.425,1.395,1.385,1.370,1.425,1.395,1.475,1.445,--,1.370,--,1.370,--,2.870
合作金庫,103/08,--,0.170,--,0.330,0.880,0.880,0.940,0.940,1.130,1.115,1.250,1.230,1.360,1.345,1.400,1.370,1.425,1.395,1.385,1.370,1.425,1.395,1.475,1.445,--,1.370,--,1.370,--,2.870
合作金庫,103/09,--,0.170,--,0.330,0.880,0.880,0.940,0.940,1.130,1.115,1.250,1.230,1.360,1.345,1.400,1.370,1.425,1.395,1.385,1.370,1.425,1.395,1.475,1.445,--,1.370,--,1.370,--,2.870
合作金庫,103/10,--,0.170,--,0.330,0.880,0.880,0.940,0.940,1.130,1.115,1.250,1.230,1.360,1.345,1.400,1.370,1.425,1.395,1.385,1.370,1.425,1.395,1.475,1.445,--,1.370,--,1.370,--,2.870
合作金庫,103/11,--,0.170,--,0.330,0.880,0.880,0.940,0.940,1.130,1.115,1.250,1.230,1.360,1.345,1.400,1.370,1.425,1.395,1.385,1.370,1.425,1.395,1.475,1.445,--,1.370,--,1.370,--,2.870
合作金庫,103/12,--,0.170,--,0.330,0.880,0.880,0.940,0.940,1.130,1.115,1.250,1.230,1.360,1.345,1.400,1.370,1.425,1.395,1.385,1.370,1.425,1.395,1.475,1.445,--,1.370,--,1.370,--,2.870
合作金庫,104/01,--,0.170,--,0.330,0.880,0.880,0.940,0.940,1.130,1.115,1.250,1.230,1.360,1.345,1.400,1.370,1.425,1.395,1.385,1.370,1.425,1.395,1.475,1.445,--,1.370,--,1.370,--,2.870
合作金庫,104/02,--,0.170,--,0.330,0.880,0.880,0.940,0.940,1.130,1.115,1.250,1.230,1.360,1.345,1.400,1.370,1.425,1.395,1.385,1.370,1.425,1.395,1.475,1.445,--,1.370,--,1.370,--,2.870
合作金庫,104/03,--,0.170,--,0.330,0.880,0.880,0.940,0.940,1.130,1.115,1.250,1.230,1.360,1.345,1.400,1.370,1.425,1.395,1.385,1.370,1.425,1.395,1.475,1.445,--,1.370,--,1.370,--,2.870
合作金庫,104/04,--,0.170,--,0.330,0.880,0.880,0.940,0.940,1.130,1.115,1.250,1.230,1.360,1.345,1.400,1.370,1.425,1.395,1.385,1.370,1.425,1.395,1.475,1.445,--,1.370,--,1.370,--,2.870
合作金庫,104/05,--,0.170,--,0.330,0.880,0.880,0.940,0.940,1.130,1.115,1.250,1.230,1.360,1.345,1.400,1.370,1.425,1.395,1.385,1.370,1.425,1.395,1.475,1.445,--,1.370,--,1.370,--,2.870
合作金庫,104/06,--,0.170,--,0.330,0.880,0.880,0.940,0.940,1.130,1.115,1.250,1.230,1.360,1.345,1.400,1.370,1.425,1.395,1.385,1.370,1.425,1.395,1.475,1.445,--,1.370,--,1.370,--,2.870
合作金庫,104/07,--,0.170,--,0.330,0.880,0.880,0.940,0.940,1.130,1.115,1.250,1.230,1.360,1.345,1.400,1.370,1.425,1.395,1.385,1.370,1.425,1.395,1.475,1.445,--,1.370,--,1.370,--,2.870
合作金庫,104/08,--,0.170,--,0.330,0.880,0.880,0.940,0.940,1.130,1.115,1.250,1.230,1.360,1.345,1.400,1.370,1.425,1.395,1.385,1.370,1.425,1.395,1.475,1.445,--,1.370,--,1.370,--,2.870
合作金庫,104/09,--,0.150,--,0.310,0.810,0.810,0.870,0.870,1.060,1.045,1.180,1.160,1.285,1.275,1.330,1.300,1.345,1.325,1.310,1.300,1.350,1.325,1.395,1.375,--,1.370,--,1.370,--,2.870
合作金庫,104/10,--,0.150,--,0.310,0.810,0.810,0.870,0.870,1.060,1.045,1.180,1.160,1.285,1.275,1.330,1.300,1.345,1.325,1.310,1.300,1.350,1.325,1.395,1.375,--,1.370,--,1.300,--,2.800
合作金庫,104/11,--,0.150,--,0.310,0.810,0.810,0.870,0.870,1.060,1.045,1.180,1.160,1.285,1.275,1.330,1.300,1.345,1.325,1.310,1.300,1.350,1.325,1.395,1.375,--,1.370,--,1.300,--,2.800
合作金庫,104/12,--,0.130,--,0.290,0.740,0.740,0.780,0.800,0.960,0.975,1.080,1.090,1.205,1.205,1.230,1.230,1.245,1.255,1.230,1.230,1.250,1.255,1.295,1.305,--,1.300,--,1.300,--,2.800
合作金庫,105/01,--,0.130,--,0.290,0.740,0.740,0.780,0.800,0.960,0.975,1.080,1.090,1.205,1.205,1.230,1.230,1.245,1.255,1.230,1.230,1.250,1.255,1.295,1.305,--,1.300,--,1.230,--,2.800
合作金庫,105/02,--,0.130,--,0.290,0.740,0.740,0.780,0.800,0.960,0.975,1.080,1.090,1.205,1.205,1.230,1.230,1.245,1.255,1.230,1.230,1.250,1.255,1.295,1.305,--,1.300,--,1.230,--,2.730
合作金庫,105/03,--,0.110,--,0.270,0.670,0.670,0.710,0.730,0.865,0.905,0.980,1.020,1.125,1.135,1.135,1.160,1.155,1.185,1.150,1.160,1.160,1.185,1.205,1.235,--,1.230,--,1.230,--,2.730
合作金庫,105/04,--,0.110,--,0.270,0.670,0.670,0.710,0.730,0.865,0.905,0.980,1.020,1.125,1.135,1.135,1.160,1.155,1.185,1.150,1.160,1.160,1.185,1.205,1.235,--,1.230,--,1.160,--,2.660
合作金庫,105/05,--,0.110,--,0.270,0.670,0.670,0.710,0.730,0.865,0.905,0.980,1.020,1.125,1.135,1.135,1.160,1.155,1.185,1.150,1.160,1.160,1.185,1.205,1.235,--,1.230,--,1.160,--,2.660
合作金庫,105/06,--,0.110,--,0.270,0.670,0.670,0.710,0.730,0.865,0.905,0.980,1.020,1.125,1.135,1.135,1.160,1.155,1.185,1.150,1.160,1.160,1.185,1.205,1.235,--,1.160,--,1.160,--,2.660
合作金庫,105/07,--,0.080,--,0.200,0.600,0.600,0.640,0.660,0.775,0.835,0.890,0.950,1.035,1.065,1.035,1.090,1.055,1.115,1.070,1.090,1.075,1.115,1.105,1.165,--,1.160,--,1.090,--,2.660
合作金庫,105/08,--,0.080,--,0.200,0.600,0.600,0.640,0.660,0.775,0.835,0.890,0.950,1.035,1.065,1.035,1.090,1.055,1.115,1.070,1.090,1.075,1.115,1.105,1.165,--,1.160,--,1.090,--,2.590
合作金庫,105/09,--,0.080,--,0.200,0.600,0.600,0.640,0.660,0.775,0.835,0.890,0.950,1.035,1.065,1.035,1.090,1.055,1.115,1.070,1.090,1.075,1.115,1.105,1.165,--,1.090,--,1.090,--,2.590
合作金庫,105/10,--,0.080,--,0.200,0.600,0.600,0.640,0.660,0.775,0.835,0.890,0.950,1.035,1.065,1.035,1.090,1.055,1.115,1.070,1.090,1.075,1.115,1.105,1.165,--,1.090,--,1.090,--,2.590
合作金庫,105/11,--,0.080,--,0.200,0.600,0.600,0.640,0.660,0.775,0.835,0.890,0.950,1.035,1.065,1.035,1.090,1.055,1.115,1.070,1.090,1.075,1.115,1.105,1.165,--,1.090,--,1.090,--,2.590
合作金庫,105/12,--,0.080,--,0.200,0.600,0.600,0.640,0.660,0.775,0.835,0.890,0.950,1.035,1.065,1.035,1.090,1.055,1.115,1.070,1.090,1.075,1.115,1.105,1.165,--,1.090,--,1.090,--,2.590
合作金庫,106/01,--,0.080,--,0.200,0.600,0.600,0.640,0.660,0.775,0.835,0.890,0.950,1.035,1.065,1.035,1.090,1.055,1.115,1.070,1.090,1.075,1.115,1.105,1.165,--,1.090,--,1.090,--,2.590
合作金庫,106/02,--,0.080,--,0.200,0.600,0.600,0.640,0.660,0.775,0.835,0.890,0.950,1.035,1.065,1.035,1.090,1.055,1.115,1.070,1.090,1.075,1.115,1.105,1.165,--,1.090,--,1.090,--,2.590
合作金庫,106/03,--,0.080,--,0.200,0.600,0.600,0.640,0.660,0.775,0.835,0.890,0.950,1.035,1.065,1.035,1.090,1.055,1.115,1.070,1.090,1.075,1.115,1.105,1.165,--,1.090,--,1.090,--,2.590
合作金庫,106/04,--,0.080,--,0.200,0.600,0.600,0.640,0.660,0.775,0.835,0.890,0.950,1.035,1.065,1.035,1.090,1.055,1.115,1.070,1.090,1.075,1.115,1.105,1.165,--,1.090,--,1.090,--,2.590
合作金庫,106/05,--,0.080,--,0.200,0.600,0.600,0.640,0.660,0.775,0.835,0.890,0.950,1.035,1.065,1.035,1.090,1.055,1.115,1.070,1.090,1.075,1.115,1.105,1.165,--,1.090,--,1.090,--,2.590
合作金庫,106/06,--,0.080,--,0.200,0.600,0.600,0.640,0.660,0.775,0.835,0.890,0.950,1.035,1.065,1.035,1.090,1.055,1.115,1.070,1.090,1.075,1.115,1.105,1.165,--,1.090,--,1.090,--,2.590
合作金庫,106/07,--,0.080,--,0.200,0.600,0.600,0.640,0.660,0.775,0.835,0.890,0.950,1.035,1.065,1.035,1.090,1.055,1.115,1.070,1.090,1.075,1.115,1.105,1.165,--,1.090,--,1.090,--,2.590
合作金庫,106/08,--,0.080,--,0.200,0.600,0.600,0.640,0.660,0.775,0.835,0.890,0.950,1.035,1.065,1.035,1.090,1.055,1.115,1.070,1.090,1.075,1.115,1.105,1.165,--,1.090,--,1.090,--,2.590
合作金庫,106/09,--,0.080,--,0.200,0.600,0.600,0.640,0.660,0.775,0.835,0.890,0.950,1.035,1.065,1.035,1.090,1.055,1.115,1.070,1.090,1.075,1.115,1.105,1.165,--,1.090,--,1.090,--,2.590
合作金庫,106/10,--,0.080,--,0.200,0.600,0.600,0.640,0.660,0.775,0.835,0.890,0.950,1.035,1.065,1.035,1.090,1.055,1.115,1.070,1.090,1.075,1.115,1.105,1.165,--,1.090,--,1.090,--,2.590
合作金庫,106/11,--,0.080,--,0.200,0.600,0.600,0.640,0.660,0.775,0.835,0.890,0.950,1.035,1.065,1.035,1.090,1.055,1.115,1.070,1.090,1.075,1.115,1.105,1.165,--,1.090,--,1.090,--,2.590
合作金庫,106/12,--,0.080,--,0.200,0.600,0.600,0.640,0.660,0.775,0.835,0.890,0.950,1.035,1.065,1.035,1.090,1.055,1.115,1.070,1.090,1.075,1.115,1.105,1.165,--,1.090,--,1.090,--,2.590
合作金庫,107/01,--,0.080,--,0.200,0.600,0.600,0.640,0.660,0.775,0.835,0.890,0.950,1.035,1.065,1.035,1.090,1.055,1.115,1.070,1.090,1.075,1.115,1.105,1.165,--,1.090,--,1.090,--,2.590
合作金庫,107/02,--,0.080,--,0.200,0.600,0.600,0.640,0.660,0.775,0.835,0.890,0.950,1.035,1.065,1.035,1.090,1.055,1.115,1.070,1.090,1.075,1.115,1.105,1.165,--,1.090,--,1.090,--,2.590
合作金庫,107/03,--,0.080,--,0.200,0.600,0.600,0.640,0.660,0.775,0.835,0.890,0.950,1.035,1.065,1.035,1.090,1.055,1.115,1.070,1.090,1.075,1.115,1.105,1.165,--,1.090,--,1.090,--,2.590
合作金庫,107/04,--,0.080,--,0.200,0.600,0.600,0.640,0.660,0.775,0.835,0.890,0.950,1.035,1.065,1.035,1.090,1.055,1.115,1.070,1.090,1.075,1.115,1.105,1.165,--,1.090,--,1.090,--,2.590
合作金庫,107/05,--,0.080,--,0.200,0.600,0.600,0.640,0.660,0.775,0.835,0.890,0.950,1.035,1.065,1.035,1.090,1.055,1.115,1.070,1.090,1.075,1.115,1.105,1.165,--,1.090,--,1.090,--,2.590
合作金庫,107/06,--,0.080,--,0.200,0.600,0.600,0.640,0.660,0.775,0.835,0.890,0.950,1.035,1.065,1.035,1.090,1.055,1.115,1.070,1.090,1.075,1.115,1.105,1.165,--,1.090,--,1.090,--,2.590
合作金庫,107/07,--,0.080,--,0.200,0.600,0.600,0.640,0.660,0.775,0.835,0.890,0.950,1.035,1.065,1.035,1.090,1.055,1.115,1.070,1.090,1.075,1.115,1.105,1.165,--,1.090,--,1.090,--,2.590
合作金庫,107/08,--,0.080,--,0.200,0.600,0.600,0.640,0.660,0.775,0.835,0.890,0.950,1.035,1.065,1.035,1.090,1.055,1.115,1.070,1.090,1.075,1.115,1.105,1.165,--,1.090,--,1.090,--,2.590
銀行,年月,活期存款-固定,活期存款-機動,活儲存款-固定,活儲存款-機動,定存利率-一個月-固定,定存利率-一個月-機動,定存利率-三個月-固定,定存利率-三個月-機動,定存利率-六個月-固定,定存利率-六個月-機動,定存利率-九個月-固定,定存利率-九個月-機動,定存利率-一年期-固定,定存利率-一年期-機動,定存利率-二年期-固定,定存利率-二年期-機動,定存利率-三年期-固定,定存利率-三年期-機動,定儲利率-一年期-固定,定儲利率-一年期-機動,定儲利率-二年期-固定,定儲利率-二年期-機動,定儲利率-三年期-固定,定儲利率-三年期-機動,指數房貸-固定,指數房貸-機動,房貸月指-固定,房貸月指-機動,基準利率-固定,基準利率-機動
土地銀行,097/11,--,0.220,--,0.680,1.655,1.695,1.755,1.795,1.935,1.955,2.065,2.085,2.175,2.185,2.225,2.230,2.250,2.255,2.200,2.210,2.250,2.255,2.295,2.305,--,2.510,NA,NA,--,4.110
土地銀行,097/12,--,0.100,--,0.450,0.905,1.095,1.005,1.145,1.185,1.305,1.315,1.435,1.425,1.535,1.475,1.580,1.500,1.605,1.450,1.560,1.500,1.605,1.545,1.655,--,2.510,--,2.210,--,4.110
土地銀行,098/01,--,0.100,--,0.300,0.405,0.695,0.505,0.745,0.685,0.905,0.815,1.035,0.925,1.135,0.975,1.180,1.000,1.205,0.945,1.160,1.000,1.205,1.040,1.255,--,2.510,--,1.560,--,4.110
土地銀行,098/02,--,0.100,--,0.250,0.355,0.645,0.455,0.695,0.585,0.855,0.715,0.985,0.775,1.085,0.825,1.130,0.850,1.155,0.795,1.110,0.850,1.155,0.890,1.205,--,1.160,--,1.160,--,2.760
土地銀行,098/03,--,0.100,--,0.250,0.355,0.645,0.455,0.695,0.585,0.855,0.715,0.985,0.775,1.085,0.825,1.130,0.850,1.155,0.795,1.110,0.850,1.155,0.890,1.205,--,1.160,--,1.110,--,2.760
土地銀行,098/04,--,0.100,--,0.250,0.355,0.645,0.455,0.695,0.585,0.855,0.715,0.985,0.775,1.085,0.825,1.130,0.850,1.155,0.795,1.110,0.850,1.155,0.890,1.205,--,1.160,--,1.110,--,2.760
