期間,幣別,匯率,年月,年份,月份,年初匯率,調整後匯率,月升值率
1996-10-01,韓元KRW/USD,70.00507528337,1996-10-01,1996,10,66.5961766198613,105.11876032008128,-0.007057678267218077
1996-11-01,韓元KRW/USD,70.0473693114532,1996-11-01,1996,11,66.5961766198613,105.18226851263806,-6.04156597389419e-4
1996-12-01,韓元KRW/USD,70.9693791236677,1996-12-01,1996,12,66.5961766198613,106.56674711037715,-0.013162661514309617
1997-01-01,韓元KRW/USD,71.89138893588219,1997-01-01,1997,1,71.89138893588219,100,-0.012991656734207147
1997-02-01,韓元KRW/USD,73.32938589071219,1997-02-01,1997,2,71.89138893588219,102.0002353218026,-0.02000235321802595
1997-03-01,韓元KRW/USD,75.80781593638979,1997-03-01,1997,3,71.89138893588219,105.44769972938002,-0.033798592686585055
1997-04-01,韓元KRW/USD,75.58788699035689,1997-04-01,1997,4,71.89138893588219,105.14178138604542,0.0029011381388092776
1997-05-01,韓元KRW/USD,75.46100490610732,1997-05-01,1997,5,71.89138893588219,104.96529003412185,0.001678603401967828
1997-06-01,韓元KRW/USD,75.24107596007441,1997-06-01,1997,6,71.89138893588219,104.65937169078721,0.0029144714718092597
1997-07-01,韓元KRW/USD,75.32566401624089,1997-07-01,1997,7,71.89138893588219,104.77703259206972,-0.001124227093873123
1997-08-01,韓元KRW/USD,75.78243951953978,1997-08-01,1997,8,71.89138893588219,105.41240145899518,-0.006064008983716369
1997-09-01,韓元KRW/USD,76.93283708340378,1997-09-01,1997,9,71.89138893588219,107.01258971643726,-0.015180265654649257
1997-10-01,韓元KRW/USD,77.98172897986811,1997-10-01,1997,10,71.89138893588219,108.47158489234046,-0.01363386476085901
1997-11-01,韓元KRW/USD,86.75351040433091,1997-11-01,1997,11,71.89138893588219,120.67302035533602,-0.1124850851502323
1997-12-01,韓元KRW/USD,125.53713415665699,1997-12-01,1997,12,71.89138893588219,174.62054359336395,-0.4470553822152875
1998-01-01,韓元KRW/USD,143.926577567248,1998-01-01,1998,1,143.926577567248,100,-0.14648608584327671
1998-02-01,韓元KRW/USD,137.607849771612,1998-02-01,1998,2,143.926577567248,95.60975609756048,0.043902439024395216
1998-03-01,韓元KRW/USD,125.943156826256,1998-03-01,1998,3,143.926577567248,87.50514252130435,0.08476764199655694
1998-04-01,韓元KRW/USD,117.433598375909,1998-04-01,1998,4,143.926577567248,81.5927123126648,0.06756665995030045
1998-05-01,韓元KRW/USD,118.43173743867399,1998-05-01,1998,5,143.926577567248,82.28621804290327,-0.00849960383203037
1998-06-01,韓元KRW/USD,118.02571476907501,1998-06-01,1998,6,143.926577567248,82.00411401704379,0.003428326548103106
1998-07-01,韓元KRW/USD,109.431568262561,1998-07-01,1998,7,143.926577567248,76.0329121363498,0.07281588188920537
1998-08-01,韓元KRW/USD,110.98798849602399,1998-08-01,1998,8,143.926577567248,77.11431090214464,-0.014222771894565577
1998-09-01,韓元KRW/USD,116.10556589409599,1998-09-01,1998,9,143.926577567248,80.66999706141628,-0.04610929045042862
1998-10-01,韓元KRW/USD,113.02656064963601,1998-10-01,1998,10,143.926577567248,78.5307081986478,0.026519015008018204
1998-11-01,韓元KRW/USD,109.135510065979,1998-11-01,1998,11,143.926577567248,75.827211284161,0.03442598413410659
1998-12-01,韓元KRW/USD,102.478430045678,1998-12-01,1998,12,143.926577567248,71.2018806935058,0.060998294838008296
1999-01-01,韓元KRW/USD,99.30637793943487,1999-01-01,1999,1,99.30637793943487,100,0.030953363598849447
1999-02-01,韓元KRW/USD,100.583657587549,1999-02-01,1999,2,99.30637793943487,101.28620102214695,-0.012862010221469568
1999-03-01,韓元KRW/USD,103.94180341735702,1999-03-01,1999,3,99.30637793943487,104.66780238500814,-0.033386594903700544
1999-04-01,韓元KRW/USD,101.99627812552899,1999-04-01,1999,4,99.30637793943487,102.70868824531556,0.018717447916659434
1999-05-01,韓元KRW/USD,101.23498562003002,1999-05-01,1999,5,99.30637793943487,101.94207836456523,0.00746392436557374
1999-06-01,韓元KRW/USD,98.84114363051941,1999-06-01,1999,6,99.30637793943487,99.5315161839865,0.02364639037432695
1999-07-01,韓元KRW/USD,100.45677550329899,1999-07-01,1999,7,99.30637793943487,101.15843270868838,-0.016345742404792564
1999-08-01,韓元KRW/USD,101.33649128743,1999-08-01,1999,8,99.30637793943487,102.04429301533207,-0.008757157292014798
1999-09-01,韓元KRW/USD,101.429538149213,1999-09-01,1999,9,99.30637793943487,102.13798977853467,-9.181969949905936e-4
1999-10-01,韓元KRW/USD,101.94552529182901,1999-10-01,1999,10,99.30637793943487,102.65758091993216,-0.00508714869485991
1999-11-01,韓元KRW/USD,99.4755540517679,1999-11-01,1999,11,99.30637793943487,100.17035775127778,0.02422834384334751
1999-12-01,韓元KRW/USD,96.18507866689218,1999-12-01,1999,12,99.30637793943487,96.85689948892677,0.03307823129251765
2000-01-01,韓元KRW/USD,95.6098798849602,2000-01-01,2e3,1,95.6098798849602,100,0.0059801248790783265
2000-02-01,韓元KRW/USD,95.52529182879378,2000-02-01,2e3,2,95.6098798849602,99.91152791294353,8.8472087056472e-4
2000-03-01,韓元KRW/USD,94.38335307054639,2000-03-01,2e3,3,95.6098798849602,98.71715473768027,0.011954307978394283
2000-04-01,韓元KRW/USD,93.89274234478087,2000-04-01,2e3,4,95.6098798849602,98.20401663275237,0.005198064169205941
2000-05-01,韓元KRW/USD,94.8570461850787,2000-05-01,2e3,5,95.6098798849602,99.21259842519694,-0.010270270270271133
2000-06-01,韓元KRW/USD,94.5440703772627,2000-06-01,2e3,6,95.6098798849602,98.88525170308769,0.003299447119672533
2000-07-01,韓元KRW/USD,94.3156826256133,2000-07-01,2e3,7,95.6098798849602,98.64637706803514,0.002415675046970677
2000-08-01,韓元KRW/USD,94.23955337506351,2000-08-01,2e3,8,95.6098798849602,98.56675218968428,8.071748878921147e-4
2000-09-01,韓元KRW/USD,94.4933175435628,2000-09-01,2e3,9,95.6098798849602,98.83216845085376,-0.0026927564850539247
2000-10-01,韓元KRW/USD,95.49145660632722,2000-10-01,2e3,10,95.6098798849602,99.87613907812094,-0.010563065079223898
2000-11-01,韓元KRW/USD,97.77533412282176,2000-11-01,2e3,11,95.6098798849602,102.26488542864722,-0.02391708743024047
2000-12-01,韓元KRW/USD,102.87599390966,2000-12-01,2e3,12,95.6098798849602,107.59975227815634,-0.05216714248637571
2001-01-01,韓元KRW/USD,107.587548638132,2001-01-01,2001,1,107.587548638132,100,-0.04579838842295352
2001-02-01,韓元KRW/USD,105.91270512603599,2001-02-01,2001,2,107.587548638132,98.44327384228326,0.015567261577167372
2001-03-01,韓元KRW/USD,109.245474538995,2001-03-01,2001,3,107.587548638132,101.54100165107339,-0.03146713521284362
2001-04-01,韓元KRW/USD,112.11300964303801,2001-04-01,2001,4,107.587548638132,104.206305527164,-0.026248548199765038
2001-05-01,韓元KRW/USD,109.69379123667699,2001-05-01,2001,5,107.587548638132,101.9577010771286,0.021578391429002673
2001-06-01,韓元KRW/USD,109.516156318728,2001-06-01,2001,6,107.587548638132,101.79259375737134,0.001619370758785471
2001-07-01,韓元KRW/USD,110.19286076806,2001-07-01,2001,7,107.587548638132,102.42157402311571,-0.0061790376148937775
2001-08-01,韓元KRW/USD,108.68719336829601,2001-08-01,2001,8,107.587548638132,101.02209293183418,0.013663928763345249
2001-09-01,韓元KRW/USD,109.56690915242798,2001-09-01,2001,9,107.587548638132,101.83976727730224,-0.008094015098457655
2001-10-01,韓元KRW/USD,110.18440196244299,2001-10-01,2001,10,107.587548638132,102.41371176979357,-0.005635760055583578
2001-11-01,韓元KRW/USD,108.458805616647,2001-11-01,2001,11,107.587548638132,100.80981209214595,0.015660985720866116
2001-12-01,韓元KRW/USD,109.279309761462,2001-12-01,2001,12,107.587548638132,101.57245066436099,-0.007565122445798606
2002-01-01,韓元KRW/USD,111.40246997124002,2002-01-01,2002,1,111.40246997124002,100,-0.019428748355132513
2002-02-01,韓元KRW/USD,111.64777533412298,2002-02-01,2002,2,111.40246997124002,100.22019741837526,-0.0022019741837527307
2002-03-01,韓元KRW/USD,111.884621891389,2002-03-01,2002,3,111.40246997124002,100.43280182232354,-0.0021213728312742502
2002-04-01,韓元KRW/USD,111.44476399932303,2002-04-01,2002,4,111.40246997124002,100.03796507213343,0.003931352536481387
2002-05-01,韓元KRW/USD,106.70783285400098,2002-05-01,2002,5,111.40246997124002,95.78587699316628,0.04250474383301508
2002-06-01,韓元KRW/USD,103.37506344104202,2002-06-01,2002,6,111.40246997124002,92.79422930903563,0.031232659532303548
2002-07-01,韓元KRW/USD,100.23684655726599,2002-07-01,2002,7,111.40246997124002,89.97722095671973,0.030357581212666886
2002-08-01,韓元KRW/USD,101.31111487058,2002-08-01,2002,8,111.40246997124002,90.94153378891399,-0.010717299578057565
2002-09-01,韓元KRW/USD,102.376924378278,2002-09-01,2002,9,111.40246997124002,91.89825360668208,-0.010520163646994958
2002-10-01,韓元KRW/USD,104.94840128573802,2002-10-01,2002,10,111.40246997124002,94.20652999240662,-0.02511773940344722
2002-11-01,韓元KRW/USD,102.469971240061,2002-11-01,2002,11,111.40246997124002,91.98177676537597,0.023615700814051583
2002-12-01,韓元KRW/USD,102.13161901539502,2002-12-01,2002,12,111.40246997124002,91.67805618830678,0.003301964668979064
2003-01-01,韓元KRW/USD,99.67856538656739,2003-01-01,2003,1,99.67856538656739,100,0.024018552261057043
2003-02-01,韓元KRW/USD,100.82896295043098,2003-02-01,2003,2,99.67856538656739,101.15410726408652,-0.011541072640865064
2003-03-01,韓元KRW/USD,104.61004906107301,2003-03-01,2003,3,99.67856538656739,104.94738628649063,-0.03750000000000867
2003-04-01,韓元KRW/USD,104.08560311283999,2003-04-01,2003,4,99.67856538656739,104.42124915139128,0.005013341958446486
2003-05-01,韓元KRW/USD,101.48029098291302,2003-05-01,2003,5,99.67856538656739,101.8075356415477,0.025030475416494762
2003-06-01,韓元KRW/USD,100.95584503468098,2003-06-01,2003,6,99.67856538656739,101.28139850644932,0.005167958656330096
2003-07-01,韓元KRW/USD,99.8477414989004,2003-07-01,2003,7,99.67856538656739,100.16972165648346,0.010976120653538278
2003-08-01,韓元KRW/USD,99.67856538656739,2003-08-01,2003,8,99.67856538656739,100,0.0016943409013901694
2003-09-01,韓元KRW/USD,98.4689561833869,2003-09-01,2003,9,99.67856538656739,98.78649015614394,0.012135098438560568
2003-10-01,韓元KRW/USD,98.7903907968195,2003-10-01,2003,10,99.67856538656739,99.10896130346237,-0.003264324370758703
2003-11-01,韓元KRW/USD,100.32143461343298,2003-11-01,2003,11,99.67856538656739,100.64494229463723,-0.015497902217659627
2003-12-01,韓元KRW/USD,100.820504144815,2003-12-01,2003,12,99.67856538656739,101.14562118126302,-0.004974704890386352
2004-01-01,韓元KRW/USD,100,2004-01-01,2004,1,100,100,0.008138266633109284
2004-02-01,韓元KRW/USD,98.6465911013365,2004-02-01,2004,2,100,98.6465911013365,0.013534088986635027
2004-03-01,韓元KRW/USD,98.55354423955329,2004-03-01,2004,3,100,98.55354423955329,9.432344366327223e-4
2004-04-01,韓元KRW/USD,97.4454407037726,2004-04-01,2004,4,100,97.4454407037726,0.011243670071237898
2004-05-01,韓元KRW/USD,99.4924716630012,2004-05-01,2004,5,100,99.4924716630012,-0.021006944444444817
2004-06-01,韓元KRW/USD,98.00372187447128,2004-06-01,2004,6,100,98.00372187447128,0.01496344159156662
2004-07-01,韓元KRW/USD,97.96988665200469,2004-07-01,2004,7,100,97.96988665200469,3.4524426031422165e-4
2004-08-01,韓元KRW/USD,97.9614278463881,2004-08-01,2004,8,100,97.9614278463881,8.634087376900216e-5
2004-09-01,韓元KRW/USD,97.0901708678735,2004-09-01,2004,9,100,97.0901708678735,0.008893877903462312
2004-10-01,韓元KRW/USD,96.5995601421079,2004-10-01,2004,10,100,96.5995601421079,0.005053145147238913
2004-11-01,韓元KRW/USD,91.91338183048548,2004-11-01,2004,11,100,91.91338183048548,0.04851138353765355
2004-12-01,韓元KRW/USD,88.8851294197259,2004-12-01,2004,12,100,88.8851294197259,0.03294680655254901
2005-01-01,韓元KRW/USD,87.81086110641168,2005-01-01,2005,1,87.81086110641168,100,0.012086029691664182
2005-02-01,韓元KRW/USD,86.32211131788186,2005-02-01,2005,2,87.81086110641168,98.30459493305082,0.016954050669491863
2005-03-01,韓元KRW/USD,85.26476061580111,2005-03-01,2005,3,87.81086110641168,97.10047201618359,0.012248897599214778
2005-04-01,韓元KRW/USD,85.40856031128399,2005-04-01,2005,4,87.81086110641168,97.26423273287742,-0.0016865079365065924
2005-05-01,韓元KRW/USD,84.79106750126881,2005-05-01,2005,5,87.81086110641168,96.56102494942694,0.007229870258492076
2005-06-01,韓元KRW/USD,85.62003045170019,2005-06-01,2005,6,87.81086110641168,97.50505731625091,-0.009776536312848881
2005-07-01,韓元KRW/USD,87.76010827271189,2005-07-01,2005,7,87.81086110641168,99.94220209999047,-0.024995060264770143
2005-08-01,韓元KRW/USD,86.40669937404842,2005-08-01,2005,8,87.81086110641168,98.4009247664003,0.015421686746987559
2005-09-01,韓元KRW/USD,87.0834038233801,2005-09-01,2005,9,87.81086110641168,99.17156343319532,-0.007831620166421069
2005-10-01,韓元KRW/USD,88.49602436136023,2005-10-01,2005,10,87.81086110641168,100.78027165013022,-0.016221466731424116
2005-11-01,韓元KRW/USD,88.02233124682787,2005-11-01,2005,11,87.81086110641168,100.2408245833735,0.005352705027720768
2005-12-01,韓元KRW/USD,86.5420402639147,2005-12-01,2005,12,87.81086110641168,98.55505249975924,0.01681722083413374
2006-01-01,韓元KRW/USD,83.21772965657252,2006-01-01,2006,1,83.21772965657252,100,0.03841266738344181
2006-02-01,韓元KRW/USD,82.05041448147522,2006-02-01,2006,2,83.21772965657252,98.59727586907906,0.014027241309209477
2006-03-01,韓元KRW/USD,82.49873117915749,2006-03-01,2006,3,83.21772965657252,99.1360032526936,-0.005463917525773022
2006-04-01,韓元KRW/USD,80.60395872102859,2006-04-01,2006,4,83.21772965657252,96.85911770685097,0.022967292115246424
2006-05-01,韓元KRW/USD,79.6142784638809,2006-05-01,2006,5,83.21772965657252,95.66985159585279,0.012278308321964604
2006-06-01,韓元KRW/USD,80.7985112502115,2006-06-01,2006,6,83.21772965657252,97.09290506200449,-0.014874628134297158
2006-07-01,韓元KRW/USD,80.4094061918457,2006-07-01,2006,7,83.21772965657252,96.62533035169746,0.00481574539363535
2006-08-01,韓元KRW/USD,81.28912197597703,2006-08-01,2006,8,83.21772965657252,97.68245578369589,-0.01094045865769038
2006-09-01,韓元KRW/USD,80.59549991541189,2006-09-01,2006,9,83.21772965657252,96.84895303923552,0.00853277835588033
2006-10-01,韓元KRW/USD,80.71392319404502,2006-10-01,2006,10,83.21772965657252,96.99125838585078,-0.0014693534844677503
2006-11-01,韓元KRW/USD,79.132126543732,2006-11-01,2006,11,83.21772965657252,95.09046554177672,0.019597568643890756
2006-12-01,韓元KRW/USD,78.25241075960069,2006-12-01,2006,12,83.21772965657252,94.03334010977832,0.011117049706039881
2007-01-01,韓元KRW/USD,79.2505498223651,2007-01-01,2007,1,79.2505498223651,100,-0.012755377796995837
2007-02-01,韓元KRW/USD,79.27592623921501,2007-02-01,2007,2,79.2505498223651,100.03202049311555,-3.2020493115553705e-4
2007-03-01,韓元KRW/USD,79.7834545762138,2007-03-01,2007,3,79.2505498223651,100.6724303554274,-0.006402048655569441
2007-04-01,韓元KRW/USD,78.7514802909829,2007-04-01,2007,4,79.2505498223651,99.37026363539327,0.01293469041560616
2007-05-01,韓元KRW/USD,78.44696328878362,2007-05-01,2007,5,79.2505498223651,98.98601771800615,0.003866809881847306
2007-06-01,韓元KRW/USD,78.45542209440019,2007-06-01,2007,6,79.2505498223651,98.99669121571127,-1.0782833728605806e-4
2007-07-01,韓元KRW/USD,77.69412958890213,2007-07-01,2007,7,79.2505498223651,98.03607642224364,0.009703504043124636
2007-08-01,韓元KRW/USD,79.0813737100321,2007-08-01,2007,8,79.2505498223651,99.78653004589596,-0.017855198693520365
2007-09-01,韓元KRW/USD,78.74302148536633,2007-09-01,2007,9,79.2505498223651,99.35959013768817,0.004278532463363701
2007-10-01,韓元KRW/USD,77.38115378108611,2007-10-01,2007,10,79.2505498223651,97.64115700715122,0.01729509077237156
2007-11-01,韓元KRW/USD,77.6602943664355,2007-11-01,2007,11,79.2505498223651,97.99338243142279,-0.003607345867949701
2007-12-01,韓元KRW/USD,78.73456267974962,2007-12-01,2007,12,79.2505498223651,99.34891663998289,-0.013832915804378104
2008-01-01,韓元KRW/USD,79.74116054813062,2008-01-01,2008,1,79.74116054813062,100,-0.012784701332187655
2008-02-01,韓元KRW/USD,79.8849602436136,2008-02-01,2008,2,79.74116054813062,100.18033308581731,-0.001803330858173143
2008-03-01,韓元KRW/USD,83.10776518355608,2008-03-01,2008,3,79.74116054813062,104.22191577384108,-0.040343074968233764
2008-04-01,韓元KRW/USD,83.5053290475385,2008-04-01,2008,4,79.74116054813062,104.72048371698313,-0.00478371501272273
2008-05-01,韓元KRW/USD,87.81931991202839,2008-05-01,2008,5,79.74116054813062,110.13047629150306,-0.05166126418152303
2008-06-01,韓元KRW/USD,87.2187447132465,2008-06-01,2008,6,79.74116054813062,109.3773204625013,0.006838759391253695
2008-07-01,韓元KRW/USD,86.12755878869899,2008-07-01,2008,7,79.74116054813062,108.00891057600501,0.012510910677917349
2008-08-01,韓元KRW/USD,88.57215361191001,2008-08-01,2008,8,79.74116054813062,111.07457303489974,-0.028383421724612737
2008-09-01,韓元KRW/USD,96.14278463880899,2008-09-01,2008,9,79.74116054813062,120.56857961175342,-0.08547416674625129
2008-10-01,韓元KRW/USD,112.239891727288,2008-10-01,2008,10,79.74116054813062,140.75527739471713,-0.16742917473165478
2008-11-01,韓元KRW/USD,118.49094907799001,2008-11-01,2008,11,79.74116054813062,148.5944627134823,-0.05569372220966106
2008-12-01,韓元KRW/USD,115.784131280663,2008-12-01,2008,12,79.74116054813062,145.19995756868545,0.022844089091947392
2009-01-01,韓元KRW/USD,114.59143968871602,2009-01-01,2009,1,114.59143968871602,100,0.01030099357100909
2009-02-01,韓元KRW/USD,121.82371849094899,2009-02-01,2009,2,114.59143968871602,106.31136044880772,-0.06311360448807714
2009-03-01,韓元KRW/USD,122.940280832346,2009-03-01,2009,3,114.59143968871602,107.28574592160578,-0.009165393695316975
2009-04-01,韓元KRW/USD,113.035019455253,2009-04-01,2009,4,114.59143968871602,98.64176570458406,0.08056969863767295
2009-05-01,韓元KRW/USD,106.20876332261899,2009-05-01,2009,5,114.59143968871602,92.68472724588477,0.060390630846366276
2009-06-01,韓元KRW/USD,106.775503298934,2009-06-01,2009,6,114.59143968871602,93.17930169041094,-0.005336094297543796
2009-07-01,韓元KRW/USD,106.75012688208399,2009-07-01,2009,7,114.59143968871602,93.1571565660291,2.3766141170941877e-4
2009-08-01,韓元KRW/USD,104.86381322957202,2009-08-01,2009,8,114.59143968871602,91.51103565365023,0.017670364500789695
2009-09-01,韓元KRW/USD,102.77448824225999,2009-09-01,2009,9,114.59143968871602,89.68775374621664,0.019924175203680533
2009-10-01,韓元KRW/USD,99.3740483843681,2009-10-01,2009,10,114.59143968871602,86.72030707905802,0.03308641975308484
2009-11-01,韓元KRW/USD,98.3928269328371,2009-11-01,2009,11,114.59143968871602,85.86402893629582,0.009874021109975718
2009-12-01,韓元KRW/USD,98.63813229571979,2009-12-01,2009,12,114.59143968871602,86.07809847198632,-0.002493122420907112
2010-01-01,韓元KRW/USD,96.32887836237518,2010-01-01,2010,1,96.32887836237518,100,0.023411371237458158
2010-02-01,韓元KRW/USD,97.8514633733717,2010-02-01,2010,2,96.32887836237518,101.58061116965233,-0.01580611169652344
2010-03-01,韓元KRW/USD,96.10049061072569,2010-03-01,2010,3,96.32887836237518,99.76290832455213,0.017894190871370317
2010-04-01,韓元KRW/USD,94.3748942649298,2010-04-01,2010,4,96.32887836237518,97.97154899894632,0.017956165830471844
2010-05-01,韓元KRW/USD,98.8326848249027,2010-05-01,2010,5,96.32887836237518,102.59922725676154,-0.047234919781302946
2010-06-01,韓元KRW/USD,102.563018101844,2010-06-01,2010,6,96.32887836237518,106.4717246224096,-0.03774392331393358
2010-07-01,韓元KRW/USD,101.92014887497899,2010-07-01,2010,7,96.32887836237518,105.80435546188991,0.006268041237111803
2010-08-01,韓元KRW/USD,99.81390627643368,2010-08-01,2010,8,96.32887836237518,103.61784334387072,0.0206656154037701
2010-09-01,韓元KRW/USD,98.3674505159871,2010-09-01,2010,9,96.32887836237518,102.11626273270112,0.0144915254237284
2010-10-01,韓元KRW/USD,94.9247166300118,2010-10-01,2010,10,96.32887836237518,98.54232525465405,0.034998710121248625
2010-11-01,韓元KRW/USD,95.42378616139399,2010-11-01,2010,11,96.32887836237518,99.06041447137342,-0.005257529852076506
2010-12-01,韓元KRW/USD,96.95482997800713,2010-12-01,2010,12,96.32887836237518,100.64980681419044,-0.01604467689034703
2011-01-01,韓元KRW/USD,94.68787007274568,2011-01-01,2011,1,94.68787007274568,100,0.02338160879427743
2011-02-01,韓元KRW/USD,94.6963288783624,2011-02-01,2011,2,94.68787007274568,100.00893335715568,-8.933357155687895e-5
2011-03-01,韓元KRW/USD,94.77245812891219,2011-03-01,2011,3,94.68787007274568,100.08933357155622,-8.039303260381493e-4
2011-04-01,韓元KRW/USD,91.76112332938592,2011-04-01,2011,4,94.68787007274568,96.90905842415589,0.031774366297750385
2011-05-01,韓元KRW/USD,91.70191169006941,2011-05-01,2011,5,94.68787007274568,96.84652492406656,6.452802359880601e-4
2011-06-01,韓元KRW/USD,91.43122991033673,2011-06-01,2011,6,94.68787007274568,96.56065749508677,0.0029517572179686216
2011-07-01,韓元KRW/USD,89.5364574522077,2011-07-01,2011,7,94.68787007274568,94.55958549222797,0.02072347118142412
2011-08-01,韓元KRW/USD,90.85603112840457,2011-08-01,2011,8,94.68787007274568,95.9531892085045,-0.01473783656117088
2011-09-01,韓元KRW/USD,95.17002199289458,2011-09-01,2011,9,94.68787007274568,100.50920135787031,-0.04748161251280229
2011-10-01,韓元KRW/USD,97.3016410082896,2011-10-01,2011,10,94.68787007274568,102.76040736108631,-0.022398009065860727
2011-11-01,韓元KRW/USD,95.93977330400949,2011-11-01,2011,11,94.68787007274568,101.32213685903169,0.013996348778578945
2011-12-01,韓元KRW/USD,97.13246489595669,2011-12-01,2011,12,94.68787007274568,102.58174021797397,-0.012431669899488396
2012-01-01,韓元KRW/USD,96.81948908814081,2012-01-01,2012,1,96.81948908814081,100,0.003222154489244333
2012-02-01,韓元KRW/USD,94.98392826932842,2012-02-01,2012,2,96.81948908814081,98.10414118469333,0.018958588153066697
2012-03-01,韓元KRW/USD,95.32228049399419,2012-03-01,2012,3,96.81948908814081,98.45360824742255,-0.003562205004896892
2012-04-01,韓元KRW/USD,96.0412789714092,2012-04-01,2012,4,96.81948908814081,99.19622575572242,-0.007542816576448925
2012-05-01,韓元KRW/USD,97.87683979022158,2012-05-01,2012,5,96.81948908814081,101.09208457102908,-0.019112207151664607
2012-06-01,韓元KRW/USD,98.4266621553037,2012-06-01,2012,6,96.81948908814081,101.65996854796433,-0.005617492005877491
2012-07-01,韓元KRW/USD,96.62493655895788,2012-07-01,2012,7,96.81948908814081,99.79905643893058,0.018305259539360828
2012-08-01,韓元KRW/USD,95.76213838605977,2012-08-01,2012,8,96.81948908814081,98.90791542897064,0.008929353059617834
2012-09-01,韓元KRW/USD,95.05159871426149,2012-09-01,2012,9,96.81948908814081,98.17403459723909,0.00741983923681597
2012-10-01,韓元KRW/USD,93.51209609203178,2012-10-01,2012,10,96.81948908814081,96.58395946182064,0.016196493726083103
2012-11-01,韓元KRW/USD,91.96413466418542,2012-11-01,2012,11,96.81948908814081,94.98514764983396,0.016553595658072975
2012-12-01,韓元KRW/USD,91.0505836575876,2012-12-01,2012,12,96.81948908814081,94.04158658046478,0.009933774834436648
2013-01-01,韓元KRW/USD,90.21316190153951,2013-01-01,2013,1,90.21316190153951,100,0.009197324414716167
2013-02-01,韓元KRW/USD,91.87108780240227,2013-02-01,2013,2,90.21316190153951,101.8377871542428,-0.01837787154242813
2013-03-01,韓元KRW/USD,93.36829639654879,2013-03-01,2013,3,90.21316190153951,103.49742147210499,-0.016296841911426288
2013-04-01,韓元KRW/USD,94.83166976822872,2013-04-01,2013,4,90.21316190153951,105.1195499296765,-0.01567312919007085
2013-05-01,韓元KRW/USD,94.07037726273047,2013-05-01,2013,5,90.21316190153951,104.2756680731364,0.008027829810008274
2013-06-01,韓元KRW/USD,96.14278463880899,2013-06-01,2013,6,90.21316190153951,106.57290201593996,-0.022030392950274456
2013-07-01,韓元KRW/USD,95.2969040771443,2013-07-01,2013,7,90.21316190153951,105.63525550867323,0.008798169980643951
2013-08-01,韓元KRW/USD,94.41718829301301,2013-08-01,2013,8,90.21316190153951,104.66010314111578,0.009231315462453522
2013-09-01,韓元KRW/USD,91.76112332938592,2013-09-01,2013,9,90.21316190153951,101.7158931082982,0.02813115929044924
2013-10-01,韓元KRW/USD,90.14549145660628,2013-10-01,2013,10,90.21316190153951,99.9249882794186,0.017606932153393207
2013-11-01,韓元KRW/USD,89.8917272881069,2013-11-01,2013,11,90.21316190153951,99.6436943272386,0.0028150511400953262
2013-12-01,韓元KRW/USD,89.33344611740817,2013-12-01,2013,12,90.21316190153951,99.02484763244252,0.006210595652583455
2014-01-01,韓元KRW/USD,90.15395026222289,2014-01-01,2014,1,90.15395026222289,100,-0.009184736293911205
2014-02-01,韓元KRW/USD,90.59380815428858,2014-02-01,2014,2,90.15395026222289,100.48789641583792,-0.004878964158379225
2014-03-01,韓元KRW/USD,90.56843173743857,2014-03-01,2014,3,90.15395026222289,100.45974854569334,2.801120448186731e-4
2014-04-01,韓元KRW/USD,88.2084249703942,2014-04-01,2014,4,90.15395026222289,97.8419966222557,0.026057719249088025
2014-05-01,韓元KRW/USD,86.61816951446448,2014-05-01,2014,5,90.15395026222289,96.07806342653407,0.018028385116993825
2014-06-01,韓元KRW/USD,86.16985281678217,2014-06-01,2014,6,90.15395026222289,95.58078438731467,0.005175781250000332
2014-07-01,韓元KRW/USD,86.33057012349848,2014-07-01,2014,7,90.15395026222289,95.75905423156314,-0.0018651222145874046
2014-08-01,韓元KRW/USD,86.66892234816439,2014-08-01,2014,8,90.15395026222289,96.13435916682307,-0.0039192631785228355
2014-09-01,韓元KRW/USD,87.61630857722888,2014-09-01,2014,9,90.15395026222289,97.18521298555083,-0.010931095061487827
2014-10-01,韓元KRW/USD,89.73946878700731,2014-10-01,2014,10,90.15395026222289,99.54025145430676,-0.02423247731222306
2014-11-01,韓元KRW/USD,92.80155642023351,2014-11-01,2014,11,90.15395026222289,102.93676111840885,-0.03412197191064201
2014-12-01,韓元KRW/USD,93.3513787853155,2014-12-01,2014,12,90.15395026222289,103.54663163820612,-0.005924710600673892
2015-01-01,韓元KRW/USD,92.07409913720178,2015-01-01,2015,1,92.07409913720178,100,0.0136824936571225
2015-02-01,韓元KRW/USD,92.91152089324991,2015-02-01,2015,2,92.07409913720178,100.90950849793303,-0.009095084979330268
2015-03-01,韓元KRW/USD,94.154965318897,2015-03-01,2015,3,92.07409913720178,102.25999081304555,-0.013383102694828678
2015-04-01,韓元KRW/USD,91.85417019116899,2015-04-01,2015,4,92.07409913720178,99.76113918236106,0.024436259096218226
2015-05-01,韓元KRW/USD,92.4547453899509,2015-05-01,2015,5,92.07409913720178,100.41341295360589,-0.006538355281333229
2015-06-01,韓元KRW/USD,94.0957536795805,2015-06-01,2015,6,92.07409913720178,102.19568213137356,-0.017749313815188558
2015-07-01,韓元KRW/USD,96.95482997800713,2015-07-01,2015,7,92.07409913720178,105.3008727606799,-0.03038475368572419
