ans11,ans12,ans13,ans14,ans21,ans22,ans23,ans24,ans25
1,1,0,0,0,1,0,0,0
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,0,0,1,1,1,1,0
1,1,1,1,1,0,0,0,0
1,1,0,0,1,0,1,1,0
1,1,0,0,1,0,1,1,0
0,0,0,0,1,0,0,0,0
1,1,1,1,1,1,1,1,0
1,1,1,1,0,0,1,1,0
1,0,1,1,1,1,1,1,0
1,1,1,1,0,0,1,1,0
1,1,1,1,1,1,0,0,0
1,1,1,1,0,0,1,1,0
1,1,1,1,0,1,0,0,0
1,0,1,0,0,0,1,1,0
1,1,1,1,0,0,1,1,0
1,1,1,1,0,0,1,1,0
1,0,0,0,0,1,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,1,1,1,1,1,0
1,1,1,1,1,1,1,1,0
